n,p_n,p_next,gap,log_p_n,absolute_error_vs_log,relative_drift_vs_log,scale_bin
1,2,3,1,0.6931471805599453,0.3068528194400547,0.44269504088896344,2-10
2,3,5,2,1.0986122886681098,0.9013877113318902,0.8204784532536746,2-10
3,5,7,2,1.6094379124341003,0.3905620875658997,0.2426698691192237,2-10
4,7,11,4,1.9459101490553132,2.0540898509446865,1.0555933694790027,2-10
5,11,13,2,2.3978952727983707,0.39789527279837067,0.16593521715150739,10-30
6,13,17,4,2.5649493574615367,1.4350506425384633,0.5594849810051202,10-30
7,17,19,2,2.833213344056216,0.8332133440562162,0.2940877522704777,10-30
8,19,23,4,2.9444389791664403,1.0555610208335597,0.35849308758043447,10-30
9,23,29,6,3.1354942159291497,2.8645057840708503,0.913573933422806,10-30
10,29,31,2,3.367295829986474,1.3672958299864741,0.40605159125325985,10-30
11,31,37,6,3.4339872044851463,2.5660127955148537,0.7472400573197747,30-100
12,37,41,4,3.6109179126442243,0.38908208735577565,0.10775157363542953,30-100
13,41,43,2,3.713572066704308,1.713572066704308,0.46143498387121795,30-100
14,43,47,4,3.7612001156935624,0.23879988430643762,0.06349034269940809,30-100
15,47,53,6,3.8501476017100584,2.1498523982899416,0.5583818130336292,30-100
16,53,59,6,3.970291913552122,2.029708086447878,0.511223892510198,30-100
17,59,61,2,4.07753744390572,2.0775374439057197,0.5095078763803392,30-100
18,61,67,6,4.110873864173311,1.8891261358266886,0.4595436878495877,30-100
19,67,71,4,4.204692619390966,0.20469261939096572,0.04868194608256874,30-100
20,71,73,2,4.2626798770413155,2.2626798770413155,0.5308115885567789,30-100
21,73,79,6,4.290459441148391,1.709540558851609,0.3984516302510555,30-100
22,79,83,4,4.3694478524670215,0.3694478524670215,0.08455252584338055,30-100
23,83,89,6,4.418840607796598,1.5811593922034017,0.3578222281685394,30-100
24,89,97,8,4.48863636973214,3.5113636302678604,0.7822784785922415,30-100
25,97,101,4,4.574710978503383,0.5747109785033828,0.12562782243598689,30-100
26,101,103,2,4.61512051684126,2.6151205168412597,0.5666418693289367,100-300
27,103,107,4,4.634728988229636,0.6347289882296359,0.13695061563288694,100-300
28,107,109,2,4.672828834461906,2.672828834461906,0.5719937385144329,100-300
29,109,113,4,4.6913478822291435,0.6913478822291435,0.14736657770530592,100-300
30,113,127,14,4.727387818712341,9.27261218128766,1.9614663608904757,100-300
31,127,131,4,4.844187086458591,0.8441870864585912,0.1742680601288968,100-300
32,131,137,6,4.875197323201151,1.1248026767988488,0.23071941548824962,100-300
33,137,139,2,4.919980925828125,2.919980925828125,0.593494358992182,100-300
34,139,149,10,4.9344739331306915,5.0655260668693085,1.0265584813122055,100-300
35,149,151,2,5.003946305945459,3.003946305945459,0.6003154554988546,100-300
36,151,157,6,5.017279836814924,0.9827201631850757,0.19586712225502004,100-300
37,157,163,6,5.056245805348308,0.9437541946516923,0.1866511698567788,100-300
38,163,167,4,5.093750200806762,1.0937502008067623,0.2147239573376667,100-300
39,167,173,6,5.117993812416755,0.8820061875832446,0.17233435988988713,100-300
40,173,179,6,5.153291594497779,0.8467084055022207,0.16430438487242982,100-300
41,179,181,2,5.187385805840755,3.187385805840755,0.6144493440707469,100-300
42,181,191,10,5.198497031265826,4.801502968734174,0.9236329154092092,100-300
43,191,193,2,5.25227342804663,3.25227342804663,0.6192125129434057,100-300
44,193,197,4,5.262690188904886,1.2626901889048856,0.23993245727574153,100-300
45,197,199,2,5.2832037287379885,3.2832037287379885,0.6214418177514148,100-300
46,199,211,12,5.293304824724492,6.706695175275508,1.2670147284828963,100-300
47,211,223,12,5.351858133476067,6.648141866523933,1.2422119011226334,100-300
48,223,227,4,5.407171771460119,1.4071717714601188,0.2602417365187818,100-300
49,227,229,2,5.424950017481403,3.424950017481403,0.6313330088654856,100-300
50,229,233,4,5.43372200355424,1.43372200355424,0.26385634057399904,100-300
51,233,239,6,5.4510384535657,0.5489615464342998,0.10070770021356323,100-300
52,239,241,2,5.476463551931511,3.476463551931511,0.6348008197197599,100-300
53,241,251,10,5.484796933490655,4.515203066509345,0.8232215561052254,100-300
54,251,257,6,5.5254529391317835,0.4745470608682165,0.08588382999471936,100-300
55,257,263,6,5.54907608489522,0.4509239151047799,0.08126107989980721,100-300
56,263,269,6,5.572154032177765,0.4278459678222353,0.07678286805273764,100-300
57,269,271,2,5.594711379601839,3.594711379601839,0.6425195395616038,100-300
58,271,277,6,5.602118820879701,0.39788117912029897,0.07102333810510282,100-300
59,277,281,4,5.6240175061873385,1.6240175061873385,0.2887646605652727,100-300
60,281,283,2,5.638354669333745,3.6383546693337454,0.6452865920482562,100-300
61,283,293,10,5.645446897643238,4.354553102356762,0.7713389535511572,100-300
62,293,307,14,5.680172609017068,8.319827390982933,1.4647138324239495,100-300
63,307,311,4,5.726847747587197,1.7268477475871968,0.3015354735621778,300-1000
64,311,313,2,5.739792912179234,3.739792912179234,0.6515553730595034,300-1000
65,313,317,4,5.746203190540153,1.746203190540153,0.3038881732227793,300-1000
66,317,331,14,5.75890177387728,8.24109822612272,1.4310190640001588,300-1000
67,331,337,6,5.802118375377063,0.19788162462293712,0.03410506505050018,300-1000
68,337,347,10,5.820082930352362,4.179917069647638,0.718188575604124,300-1000
69,347,349,2,5.849324779946859,3.8493247799468593,0.6580801929726032,300-1000
70,349,353,4,5.855071922202427,1.855071922202427,0.3168316199785687,300-1000
