scale_bin,p_min,p_max,gap_count,mean_gap,median_gap,max_gap,mean_log,mean_relative_drift,cgcs_bin,bin_abs_error,bin_relative_error
2-10,2,7,4,2.25,2.0,4,1.3367768826793671,0.6403591831852161,0.6096225815971722,0.9132231173206329,0.6831529847301183
10-30,11,29,6,3.3333333333333335,3.0,6,2.8738811665663646,0.4496044271139343,0.689843367815131,0.4594521667669689,0.15987166488025317
30-100,31,97,15,4.666666666666667,4.0,8,4.075866391263218,0.3831200298153424,0.723003049947522,0.5908002754034491,0.1449508444805387
100-300,101,293,37,5.5675675675675675,4.0,14,5.224233018277589,0.5219807421880994,0.6570385368755286,0.3433345492899784,0.06571960861791241
300-1000,307,997,106,6.622641509433962,6.0,20,6.4077382362709825,0.43951336480785974,0.6946792051030911,0.21490327316297986,0.03353808555201593
1000-3000,1009,2999,262,7.603053435114504,6.0,34,7.542419644117053,0.5336984451723271,0.6520186566973011,0.06063379099745081,0.008039037054208996
3000-10000,3001,9973,799,8.768460575719649,6.0,36,8.715434502225607,0.5613998888643518,0.6404509230030284,0.05302607349404198,0.006084157190384603
10000-30000,10007,29989,2016,9.922619047619047,8.0,52,9.848388077765549,0.5664644312148784,0.6383802785898213,0.07423096985349886,0.007537372539277591
30000-100000,30011,99991,6347,11.027572081298251,8.0,72,11.01859894827166,0.5814061053717557,0.6323486399876526,0.00897313302659164,0.0008143624310783302
100000-300000,100003,299993,16405,12.191648887534289,10.0,86,12.152488784210087,0.5940940529091345,0.6273155578085589,0.0391601033242015,0.003222393702192329
300000-1000000,300007,999979,52500,13.33287619047619,10.0,114,13.322350319209475,0.6062285331963817,0.6225764138369576,0.010525871266715114,0.0007900911636843747
