x,pi_x,x_over_log_x,ratio_pi_over_xlogx,drift_density
100,25,21.71472409516259,1.151292546497023,0.15129254649702287
112,29,23.736362571018095,1.2217541720317655,0.22175417203176545
126,30,26.053071848208983,1.1514956921313042,0.1514956921313042
141,34,28.49198650234478,1.193317987750764,0.19331798775076395
159,37,31.367726367832397,1.1795563237870978,0.17955632378709793
179,41,34.50678370566815,1.1881721678182735,0.18817216781827348
201,46,37.90089453362446,1.213691670501082,0.21369167050108206
226,48,41.69330149705532,1.1512640706419015,0.15126407064190156
254,54,45.87044735819445,1.1772285449566966,0.17722854495669668
285,61,50.420264579162726,1.2098310175311848,0.20983101753118488
320,66,55.47541481019213,1.1897162053824655,0.1897162053824654
360,72,61.16099852746011,1.1772208062900311,0.1772208062900312
405,79,67.45629880662999,1.1711285883985594,0.17112858839855932
455,87,74.34279232756458,1.170254671315896,0.17025467131589594
511,97,81.93869728354389,1.1838118400190984,0.18381184001909853
574,105,90.35628622260734,1.1620663529852866,0.16206635298528652
645,117,99.70243357648731,1.173491917930396,0.17349191793039598
725,128,110.07912304648204,1.1627999611329634,0.1627999611329633
815,141,121.58393681211538,1.1596926674441248,0.15969266744412475
916,156,134.31052816011356,1.1614875031541094,0.1614875031541094
1029,172,148.34907085603658,1.159427551567985,0.15942755156798494
1156,191,163.9083684056707,1.165285225262434,0.165285225262434
1299,211,181.1879733838476,1.1645364538240928,0.1645364538240928
1460,232,200.37902613157308,1.1578058067198307,0.15780580671983063
1641,259,221.66506257459034,1.1684295079782654,0.1684295079782654
1844,282,245.22279647908613,1.1499746518225944,0.1499746518225944
2072,312,271.3366745305917,1.1498629904702533,0.14986299047025325
2328,344,300.2799720355406,1.1455975490742512,0.1455975490742512
2616,379,332.42679628605543,1.1401006303771855,0.14010063037718543
2940,424,368.13665275093143,1.1517462247554682,0.15174622475546815
3303,464,407.6476110948357,1.1382379961796327,0.13823799617963264
3712,518,451.61853387860134,1.146985699526766,0.14698569952676593
4171,573,500.36522137377966,1.14516352360941,0.14516352360941004
4686,633,554.4030390643534,1.1417686329214427,0.1417686329214428
5266,698,614.538897538904,1.1358109353131913,0.13581093531319122
5917,777,681.2437051937794,1.1405609975933395,0.1405609975933396
6649,856,755.3774707752056,1.1332082741646117,0.13320827416461156
7471,945,837.6702344648976,1.1281288997975014,0.12812889979750144
8395,1051,929.1240933406216,1.1311729052479733,0.13117290524797326
9433,1168,1030.7071109251283,1.1332026214039042,0.13320262140390415
10600,1292,1143.6451445588884,1.1297210556499437,0.1297210556499438
11911,1427,1269.123474796198,1.124398081305016,0.12439808130501609
13383,1587,1408.4787904366901,1.1267475312908053,0.1267475312908052
15038,1757,1563.4721650242957,1.1237807997513642,0.12378079975136427
16898,1948,1735.8074817095742,1.1222442699010837,0.12224426990108384
18988,2158,1927.4099960470144,1.1196372356820343,0.11963723568203438
21336,2395,2140.417000006137,1.1189408418981595,0.1189408418981595
23974,2665,2377.258631370901,1.1210391519172511,0.12103915191725105
26938,2954,2640.645597604783,1.1186658303103785,0.11866583031037851
30270,3273,2933.732989832932,1.115643451991992,0.115643451991992
34013,3638,3259.668048040657,1.1160645643616236,0.11606456436162362
38218,4033,3622.194657410361,1.1134133809593045,0.11341338095930463
42944,4489,4025.6280494552993,1.115105505240952,0.11510550524095209
48255,4966,4474.579024286666,1.1098250747268177,0.10982507472681767
54222,5518,4974.111169998272,1.109343923248486,0.10934392324848599
60927,6141,5530.054701517865,1.1104772613396474,0.11047726133964733
68460,6806,6148.730896076546,1.1068950837225373,0.1068950837225373
76926,7562,6837.502486223053,1.1059593784772648,0.10595937847726472
86438,8405,7604.170926710403,1.105314449268441,0.10531444926844098
97127,9346,8457.759117615367,1.1050208299896662,0.10502082998966619
109137,10376,9408.070700422353,1.102882868379613,0.10288286837961304
122633,11534,10466.28900765937,1.1020142852504133,0.10201428525041345
137797,12824,11644.616614026409,1.1012814268657825,0.1012814268657825
154836,14259,12956.855416539867,1.1004985038111872,0.10049850381118715
173982,15832,14418.349447277627,1.0980452414398438,0.09804524143984375
195496,17617,16046.233537430571,1.0978900412302581,0.09789004123025809
219670,19581,17859.52136548928,1.0963899647298057,0.09638996472980556
246834,21783,19879.561071838347,1.0957485389784631,0.09574853897846318
277356,24231,22129.955723569314,1.0949411875322004,0.09494118753220042
311652,26923,24637.218086880523,1.0927775979032581,0.09277759790325804
350190,29989,27430.961892255957,1.0932536787368803,0.09325367873688031
393492,33355,30543.94314901492,1.0920332007321634,0.09203320073216342
442149,37106,34013.02559257895,1.090934997799663,0.09093499779966295
496823,41290,37879.1866956639,1.0900445231768017,0.09004452317680156
558258,45942,42188.15587394606,1.0889786255950615,0.08897862559506148
627289,51147,46990.88751774247,1.0884450731152566,0.08844507311525655
704857,56917,52344.428513600025,1.0873554572328923,0.08735545723289229
792016,63355,58312.20410951619,1.0864792536569692,0.08647925365696914
889953,70552,64965.17569273878,1.0859972169348826,0.08599721693488256
1000000,78498,72382.41365054197,1.0844899477790795,0.08448994777907955
