layer,filter_prime_q,candidate_count_before,removed_count,candidate_count_after,retention_share_initial,removed_share_initial,removed_share_layer
1,2,199999,99999,100000,0.5000025000125,0.4999974999874999,0.4999974999874999
2,3,100000,33332,66668,0.33334166670833354,0.6666583332916665,0.33332
3,5,66668,13332,53336,0.26668133340666705,0.733318666593333,0.1999760004799904
4,7,53336,7618,45718,0.22859114295571478,0.7714088570442852,0.1428303584820759
5,11,45718,4155,41563,0.2078160390801954,0.7921839609198046,0.09088324073669014
6,13,41563,3197,38366,0.19183095915479578,0.8081690408452042,0.07691937540601015
7,17,38366,2255,36111,0.1805559027795139,0.8194440972204861,0.05877599958296408
8,19,36111,1900,34211,0.1710558552792764,0.8289441447207236,0.052615546509373876
9,23,34211,1486,32725,0.16362581812909063,0.8363741818709094,0.04343632165093099
10,29,32725,1122,31603,0.1580157900789504,0.8419842099210496,0.03428571428571429
11,31,31603,1012,30591,0.1529557647788239,0.8470442352211761,0.03202227636616777
12,37,30591,809,29782,0.14891074455372277,0.8510892554462772,0.026445686639861396
13,41,29782,711,29071,0.1453557267786339,0.8546442732213662,0.023873480625881405
14,43,29071,660,28411,0.1420557102785514,0.8579442897214486,0.02270303739121461
15,47,28411,592,27819,0.1390956954784774,0.8609043045215226,0.020836999753616556
16,53,27819,518,27301,0.13650568252841264,0.8634943174715873,0.018620367374815774
17,59,27301,461,26840,0.134200671003355,0.865799328996645,0.016885828357935607
18,61,26840,445,26395,0.1319756598782994,0.8680243401217006,0.01657973174366617
19,67,26395,411,25984,0.129920649603248,0.870079350396752,0.015571130896003031
20,71,25984,390,25594,0.12797063985319926,0.8720293601468008,0.015009236453201971
21,73,25594,379,25215,0.1260756303781519,0.8739243696218482,0.014808158162069235
22,79,25215,349,24866,0.12433062165310826,0.8756693783468917,0.013840967677969463
23,83,24866,335,24531,0.12265561327806639,0.8773443867219336,0.013472211051234617
24,89,24531,311,24220,0.12110060550302751,0.8788993944969725,0.012677836207247972
25,97,24220,286,23934,0.11967059835299176,0.8803294016470082,0.011808422791081751
26,101,23934,274,23660,0.11830059150295752,0.8816994084970425,0.011448149076627391
27,103,23660,269,23391,0.1169555847779239,0.8830444152220761,0.011369399830938293
28,107,23391,258,23133,0.11566557832789164,0.8843344216721084,0.011029883288444273
29,109,23133,254,22879,0.11439557197785989,0.8856044280221401,0.01097998530238188
30,113,22879,245,22634,0.11317056585282927,0.8868294341471707,0.010708509987324621
31,127,22634,218,22416,0.11208056040280201,0.887919439597198,0.009631527790050366
32,131,22416,210,22206,0.11103055515277577,0.8889694448472243,0.00936830835117773
33,137,22206,200,22006,0.11003055015275076,0.8899694498472492,0.009006574799603711
34,139,22006,194,21812,0.10906054530272652,0.8909394546972735,0.008815777515223121
35,149,21812,183,21629,0.10814554072770363,0.8918544592722963,0.008389877131854025
36,151,21629,181,21448,0.10724053620268101,0.892759463797319,0.00836839428545009
37,157,21448,169,21279,0.10639553197765989,0.8936044680223401,0.007879522566206639
38,163,21279,163,21116,0.10558052790263951,0.8944194720973605,0.0076601344048122565
39,167,21116,158,20958,0.10479052395261976,0.8952094760473802,0.0074824777419965904
40,173,20958,152,20806,0.10403052015260077,0.8959694798473993,0.007252600438973185
41,179,20806,147,20659,0.1032955164775824,0.8967044835224176,0.007065269633759493
42,181,20659,144,20515,0.10257551287756439,0.8974244871224356,0.006970327702212111
43,191,20515,133,20382,0.10191050955254777,0.8980894904474522,0.006483061174750183
44,193,20382,131,20251,0.10125550627753138,0.8987444937224686,0.0064272397213227354
45,197,20251,126,20125,0.10062550312751564,0.8993744968724844,0.006221914967162115
46,199,20125,123,20002,0.10001050005250026,0.8999894999474998,0.006111801242236025
47,211,20002,115,19887,0.09943549717748588,0.9005645028225141,0.0057494250574942505
48,223,19887,107,19780,0.09890049450247251,0.9010995054975275,0.005380399255795243
49,227,19780,104,19676,0.09838049190245951,0.9016195080975404,0.0052578361981799795
50,229,19676,101,19575,0.09787548937744689,0.9021245106225532,0.005133157145761334
51,233,19575,98,19477,0.09738548692743464,0.9026145130725653,0.0050063856960408685
52,239,19477,94,19383,0.09691548457742288,0.9030845154225771,0.004826205267751707
53,241,19383,93,19290,0.09645048225241126,0.9035495177475887,0.004798018882525925
54,251,19290,85,19205,0.09602548012740064,0.9039745198725994,0.0044064282011404875
55,257,19205,83,19122,0.09561047805239026,0.9043895219476097,0.004321791200208279
56,263,19122,79,19043,0.09521547607738039,0.9047845239226197,0.0041313670118188475
57,269,19043,76,18967,0.09483547417737088,0.9051645258226291,0.003990967809693851
58,271,18967,73,18894,0.09447047235236176,0.9055295276476383,0.0038487900036906207
59,277,18894,70,18824,0.09412047060235301,0.905879529397647,0.003704879856038954
60,281,18824,68,18756,0.09378046890234451,0.9062195310976555,0.003612409689757756
61,283,18756,66,18690,0.09345046725233626,0.9065495327476637,0.0035188739603326936
62,293,18690,62,18628,0.0931404657023285,0.9068595342976715,0.003317281968967362
63,307,18628,56,18572,0.0928604643023215,0.9071395356976785,0.003006227184882972
64,311,18572,54,18518,0.09259046295231477,0.9074095370476852,0.0029076028429894465
65,313,18518,51,18467,0.09233546167730838,0.9076645383226916,0.0027540771141591966
66,317,18467,49,18418,0.09209046045230226,0.9079095395476977,0.0026533817079114094
67,331,18418,44,18374,0.09187045935229676,0.9081295406477032,0.0023889673145835594
68,337,18374,41,18333,0.09166545832729163,0.9083345416727083,0.002231413954500925
69,347,18333,37,18296,0.09148045740228701,0.908519542597713,0.002018218513063874
70,349,18296,36,18260,0.09130045650228251,0.9086995434977175,0.0019676432006996065
71,353,18260,33,18227,0.09113545567727839,0.9088645443227216,0.0018072289156626507
72,359,18227,31,18196,0.09098045490227451,0.9090195450977255,0.0017007735776595162
73,367,18196,28,18168,0.090840454202271,0.909159545797729,0.0015387997362057595
74,373,18168,26,18142,0.09071045355226776,0.9092895464477322,0.0014310876265962132
75,379,18142,25,18117,0.09058545292726464,0.9094145470727354,0.0013780178591114541
76,383,18117,23,18094,0.09047045235226177,0.9095295476477382,0.001269525859689794
77,389,18094,21,18073,0.09036545182725914,0.9096345481727408,0.0011606057256549132
78,397,18073,19,18054,0.09027045135225677,0.9097295486477432,0.0010512919825153544
79,401,18054,16,18038,0.09019045095225477,0.9098095490477452,0.0008862301982940069
80,409,18038,14,18024,0.09012045060225302,0.909879549397747,0.0007761392615589311
81,419,18024,11,18013,0.09006545032725163,0.9099345496727483,0.0006102973812694186
82,421,18013,10,18003,0.09001545007725038,0.9099845499227496,0.0005551546105590407
83,431,18003,8,17995,0.08997544987724938,0.9100245501227506,0.0004443703827139921
84,433,17995,6,17989,0.08994544972724863,0.9100545502727514,0.000333425951653237
85,439,17989,3,17986,0.08993044965224826,0.9100695503477517,0.0001667685807993774
86,443,17986,2,17984,0.08992044960224801,0.910079550397752,0.00011119759813188036
