layer,filter_prime_q,candidate_count_before,removed_count,candidate_count_after,retention_share,process,target_removed_count,actual_removed_count
1,2,199999,99999.0,100000,0.5000025000125,sieve,,
2,3,100000,33332.0,66668,0.33334166670833354,sieve,,
3,5,66668,13332.0,53336,0.26668133340666705,sieve,,
4,7,53336,7618.0,45718,0.22859114295571478,sieve,,
5,11,45718,4155.0,41563,0.2078160390801954,sieve,,
6,13,41563,3197.0,38366,0.19183095915479578,sieve,,
7,17,38366,2255.0,36111,0.1805559027795139,sieve,,
8,19,36111,1900.0,34211,0.1710558552792764,sieve,,
9,23,34211,1486.0,32725,0.16362581812909063,sieve,,
10,29,32725,1122.0,31603,0.1580157900789504,sieve,,
11,31,31603,1012.0,30591,0.1529557647788239,sieve,,
12,37,30591,809.0,29782,0.14891074455372277,sieve,,
13,41,29782,711.0,29071,0.1453557267786339,sieve,,
14,43,29071,660.0,28411,0.1420557102785514,sieve,,
15,47,28411,592.0,27819,0.1390956954784774,sieve,,
16,53,27819,518.0,27301,0.13650568252841264,sieve,,
17,59,27301,461.0,26840,0.134200671003355,sieve,,
18,61,26840,445.0,26395,0.1319756598782994,sieve,,
19,67,26395,411.0,25984,0.129920649603248,sieve,,
20,71,25984,390.0,25594,0.12797063985319926,sieve,,
21,73,25594,379.0,25215,0.1260756303781519,sieve,,
22,79,25215,349.0,24866,0.12433062165310826,sieve,,
23,83,24866,335.0,24531,0.12265561327806639,sieve,,
24,89,24531,311.0,24220,0.12110060550302751,sieve,,
25,97,24220,286.0,23934,0.11967059835299176,sieve,,
26,101,23934,274.0,23660,0.11830059150295752,sieve,,
27,103,23660,269.0,23391,0.1169555847779239,sieve,,
28,107,23391,258.0,23133,0.11566557832789164,sieve,,
29,109,23133,254.0,22879,0.11439557197785989,sieve,,
30,113,22879,245.0,22634,0.11317056585282927,sieve,,
31,127,22634,218.0,22416,0.11208056040280201,sieve,,
32,131,22416,210.0,22206,0.11103055515277577,sieve,,
33,137,22206,200.0,22006,0.11003055015275076,sieve,,
34,139,22006,194.0,21812,0.10906054530272652,sieve,,
35,149,21812,183.0,21629,0.10814554072770363,sieve,,
36,151,21629,181.0,21448,0.10724053620268101,sieve,,
37,157,21448,169.0,21279,0.10639553197765989,sieve,,
38,163,21279,163.0,21116,0.10558052790263951,sieve,,
39,167,21116,158.0,20958,0.10479052395261976,sieve,,
40,173,20958,152.0,20806,0.10403052015260077,sieve,,
41,179,20806,147.0,20659,0.1032955164775824,sieve,,
42,181,20659,144.0,20515,0.10257551287756439,sieve,,
43,191,20515,133.0,20382,0.10191050955254777,sieve,,
44,193,20382,131.0,20251,0.10125550627753138,sieve,,
45,197,20251,126.0,20125,0.10062550312751564,sieve,,
46,199,20125,123.0,20002,0.10001050005250026,sieve,,
47,211,20002,115.0,19887,0.09943549717748588,sieve,,
48,223,19887,107.0,19780,0.09890049450247251,sieve,,
49,227,19780,104.0,19676,0.09838049190245951,sieve,,
50,229,19676,101.0,19575,0.09787548937744689,sieve,,
51,233,19575,98.0,19477,0.09738548692743464,sieve,,
52,239,19477,94.0,19383,0.09691548457742288,sieve,,
53,241,19383,93.0,19290,0.09645048225241126,sieve,,
54,251,19290,85.0,19205,0.09602548012740064,sieve,,
55,257,19205,83.0,19122,0.09561047805239026,sieve,,
56,263,19122,79.0,19043,0.09521547607738039,sieve,,
57,269,19043,76.0,18967,0.09483547417737088,sieve,,
58,271,18967,73.0,18894,0.09447047235236176,sieve,,
59,277,18894,70.0,18824,0.09412047060235301,sieve,,
60,281,18824,68.0,18756,0.09378046890234451,sieve,,
61,283,18756,66.0,18690,0.09345046725233626,sieve,,
62,293,18690,62.0,18628,0.0931404657023285,sieve,,
63,307,18628,56.0,18572,0.0928604643023215,sieve,,
