set,residue_mod_6,count,share
sieve_primes,0,0,0.0
sieve_primes,1,8988,0.4997775800711744
sieve_primes,2,1,5.560498220640569e-05
sieve_primes,3,1,5.560498220640569e-05
sieve_primes,4,0,0.0
sieve_primes,5,8994,0.5001112099644128
random_count_matched,0,3023,0.16809386120996442
random_count_matched,1,3029,0.16842749110320285
random_count_matched,2,3003,0.1669817615658363
random_count_matched,3,2999,0.16675934163701067
random_count_matched,4,2958,0.16447953736654805
random_count_matched,5,2972,0.1652580071174377
random_layer_matched,0,2964,0.16481316725978648
random_layer_matched,1,2984,0.1659252669039146
random_layer_matched,2,3045,0.16931717081850534
random_layer_matched,3,2971,0.16520240213523132
random_layer_matched,4,2956,0.16436832740213522
random_layer_matched,5,3064,0.17037366548042704
