x,observed_count,prime_count,density_drift,name,scenario
100,25,25,0.0,true_primes,baseline
111,29,29,0.0,true_primes,baseline
124,30,30,0.0,true_primes,baseline
139,34,34,0.0,true_primes,baseline
155,36,36,0.0,true_primes,baseline
173,40,40,0.0,true_primes,baseline
193,44,44,0.0,true_primes,baseline
216,47,47,0.0,true_primes,baseline
241,53,53,0.0,true_primes,baseline
269,57,57,0.0,true_primes,baseline
300,62,62,0.0,true_primes,baseline
335,67,67,0.0,true_primes,baseline
375,74,74,0.0,true_primes,baseline
418,80,80,0.0,true_primes,baseline
467,91,91,0.0,true_primes,baseline
521,98,98,0.0,true_primes,baseline
582,106,106,0.0,true_primes,baseline
650,118,118,0.0,true_primes,baseline
726,128,128,0.0,true_primes,baseline
810,140,140,0.0,true_primes,baseline
905,154,154,0.0,true_primes,baseline
1010,169,169,0.0,true_primes,baseline
1128,188,188,0.0,true_primes,baseline
1259,205,205,0.0,true_primes,baseline
1406,222,222,0.0,true_primes,baseline
1570,247,247,0.0,true_primes,baseline
1753,273,273,0.0,true_primes,baseline
1957,297,297,0.0,true_primes,baseline
2185,327,327,0.0,true_primes,baseline
2439,361,361,0.0,true_primes,baseline
2724,397,397,0.0,true_primes,baseline
3041,436,436,0.0,true_primes,baseline
3395,478,478,0.0,true_primes,baseline
3790,526,526,0.0,true_primes,baseline
4232,580,580,0.0,true_primes,baseline
4725,637,637,0.0,true_primes,baseline
5275,699,699,0.0,true_primes,baseline
5890,775,775,0.0,true_primes,baseline
6575,850,850,0.0,true_primes,baseline
7341,935,935,0.0,true_primes,baseline
8196,1028,1028,0.0,true_primes,baseline
9151,1134,1134,0.0,true_primes,baseline
10216,1253,1253,0.0,true_primes,baseline
11406,1376,1376,0.0,true_primes,baseline
12735,1519,1519,0.0,true_primes,baseline
14218,1671,1671,0.0,true_primes,baseline
15874,1848,1848,0.0,true_primes,baseline
17722,2034,2034,0.0,true_primes,baseline
19786,2239,2239,0.0,true_primes,baseline
22090,2475,2475,0.0,true_primes,baseline
24663,2730,2730,0.0,true_primes,baseline
27535,3007,3007,0.0,true_primes,baseline
30742,3315,3315,0.0,true_primes,baseline
34322,3668,3668,0.0,true_primes,baseline
38319,4044,4044,0.0,true_primes,baseline
42781,4473,4473,0.0,true_primes,baseline
47763,4923,4923,0.0,true_primes,baseline
53325,5439,5439,0.0,true_primes,baseline
