name,scenario,keep_fraction,noise_fraction,observed_count,true_prime_overlap,false_positive_count,false_negative_count,cgcs_recovery,precision,recovery_drift,cgcs_mod6,mean_density_drift,cgcs_sieve_consistency,reconstruction_recovery,reconstruction_precision
true_primes,baseline,1.0,0.0,17984,17984,0,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
missing_keep_100,missing,1.0,0.0,17984,17984,0,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
missing_keep_90,missing,0.9,0.0,16186,16186,0,1798,0.9000222419928826,1.0,0.09997775800711739,1.0,0.09517622059414194,1.0,0.9000222419928826,1.0
missing_keep_75,missing,0.75,0.0,13488,13488,0,4496,0.75,1.0,0.25,1.0,0.23761927637579752,1.0,0.75,1.0
missing_keep_50,missing,0.5,0.0,8992,8992,0,8992,0.5,1.0,0.5,1.0,0.5082212137961089,1.0,0.5,1.0
missing_keep_25,missing,0.25,0.0,4496,4496,0,13488,0.25,1.0,0.75,1.0,0.7433549001179882,1.0,0.25,1.0
noise_10,noise,1.0,0.1,19782,17984,1798,0,1.0,0.9091092912748964,0.0,0.9332659251769464,0.061046460842184035,0.9091092912748964,1.0,1.0
noise_25,noise,1.0,0.25,22480,17984,4496,0,1.0,0.8,0.0,0.8521220749176973,0.14895195818333654,0.8,1.0,1.0
noise_50,noise,1.0,0.5,26976,17984,8992,0,1.0,0.6666666666666666,0.0,0.7554311559279306,0.28609042935097306,0.6666666666666666,1.0,1.0
noise_100,noise,1.0,1.0,35968,17984,17984,0,1.0,0.5,0.0,0.634543735750431,0.5974384987773401,0.5,1.0,1.0
mixed_keep_75_noise_25,mixed,0.75,0.25,17984,13488,4496,4496,0.75,0.75,0.25,0.8159928821664906,0.07323671368142225,0.75,0.75,1.0
mixed_keep_50_noise_50,mixed,0.5,0.5,17984,8992,8992,8992,0.5,0.5,0.5,0.6349329922704777,0.1945249402127995,0.5,0.5,1.0
mixed_keep_25_noise_100,mixed,0.25,1.0,22480,4496,17984,13488,0.25,0.2,0.75,0.410008896797153,0.19822697325840855,0.2,0.25,1.0
