candidate,bin_left,bin_right,score,scenario,kind,stage
159361,156250,162500,0.9979050676198954,mixed_keep_75_noise_25,mixed,density_reconstruction
153089,150000,156250,0.9944320728674569,mixed_keep_75_noise_25,mixed,density_reconstruction
15619,12501,18751,0.9887228432068301,mixed_keep_75_noise_25,mixed,density_reconstruction
146953,143750,150000,0.988699836115695,mixed_keep_75_noise_25,mixed,density_reconstruction
165511,162500,168750,0.9868137059707849,mixed_keep_75_noise_25,mixed,density_reconstruction
128189,125000,131250,0.986804118256262,mixed_keep_75_noise_25,mixed,density_reconstruction
3011,2,6251,0.9866866592596468,mixed_keep_75_noise_25,mixed,density_reconstruction
140717,137500,143750,0.9860369466078477,mixed_keep_75_noise_25,mixed,density_reconstruction
146977,143750,150000,0.986015494844131,mixed_keep_75_noise_25,mixed,density_reconstruction
3229,2,6251,0.9855634519285137,mixed_keep_75_noise_25,mixed,density_reconstruction
34351,31251,37501,0.9847023809110389,mixed_keep_75_noise_25,mixed,density_reconstruction
140521,137500,143750,0.9846585033201517,mixed_keep_75_noise_25,mixed,density_reconstruction
40627,37501,43751,0.9830716131831984,mixed_keep_75_noise_25,mixed,density_reconstruction
84377,81251,87501,0.9830073503871932,mixed_keep_75_noise_25,mixed,density_reconstruction
103067,100001,106250,0.9818047614725739,mixed_keep_75_noise_25,mixed,density_reconstruction
196739,193750,200000,0.9801351201561018,mixed_keep_75_noise_25,mixed,density_reconstruction
178289,175000,181250,0.9793774879146946,mixed_keep_75_noise_25,mixed,density_reconstruction
152941,150000,156250,0.9778326849597356,mixed_keep_75_noise_25,mixed,density_reconstruction
21673,18751,25001,0.9767772405843994,mixed_keep_75_noise_25,mixed,density_reconstruction
177929,175000,181250,0.9758443716301943,mixed_keep_75_noise_25,mixed,density_reconstruction
40709,37501,43751,0.9738342077891224,mixed_keep_75_noise_25,mixed,density_reconstruction
46819,43751,50001,0.9733016336258756,mixed_keep_75_noise_25,mixed,density_reconstruction
53161,50001,56251,0.9727446103061606,mixed_keep_75_noise_25,mixed,density_reconstruction
71821,68751,75001,0.9726740557848881,mixed_keep_75_noise_25,mixed,density_reconstruction
40519,37501,43751,0.9712664704588773,mixed_keep_75_noise_25,mixed,density_reconstruction
53077,50001,56251,0.9712139263902544,mixed_keep_75_noise_25,mixed,density_reconstruction
59407,56251,62501,0.9706368882798458,mixed_keep_75_noise_25,mixed,density_reconstruction
197101,193750,200000,0.9700139687227229,mixed_keep_75_noise_25,mixed,density_reconstruction
171617,168750,175000,0.9697869316560545,mixed_keep_75_noise_25,mixed,density_reconstruction
71789,68751,75001,0.9690784067109475,mixed_keep_75_noise_25,mixed,density_reconstruction
65599,62501,68751,0.9688653932649705,mixed_keep_75_noise_25,mixed,density_reconstruction
109567,106250,112500,0.968437769489,mixed_keep_75_noise_25,mixed,density_reconstruction
103307,100001,106250,0.9680872796630943,mixed_keep_75_noise_25,mixed,density_reconstruction
153409,150000,156250,0.9667098078627935,mixed_keep_75_noise_25,mixed,density_reconstruction
65677,62501,68751,0.9661494108249898,mixed_keep_75_noise_25,mixed,density_reconstruction
171583,168750,175000,0.9659842066503677,mixed_keep_75_noise_25,mixed,density_reconstruction
21577,18751,25001,0.9658920568020974,mixed_keep_75_noise_25,mixed,density_reconstruction
84211,81251,87501,0.9645858858733721,mixed_keep_75_noise_25,mixed,density_reconstruction
46901,43751,50001,0.9644294552957574,mixed_keep_75_noise_25,mixed,density_reconstruction
72031,68751,75001,0.9615535926882111,mixed_keep_75_noise_25,mixed,density_reconstruction
9341,6251,12501,0.9608463366070787,mixed_keep_75_noise_25,mixed,density_reconstruction
78059,75001,81251,0.9606265549273453,mixed_keep_75_noise_25,mixed,density_reconstruction
46817,43751,50001,0.9605704162601089,mixed_keep_75_noise_25,mixed,density_reconstruction
190301,187500,193750,0.9598783123041951,mixed_keep_75_noise_25,mixed,density_reconstruction
109397,106250,112500,0.9588280073511753,mixed_keep_75_noise_25,mixed,density_reconstruction
3449,2,6251,0.9585501892470887,mixed_keep_75_noise_25,mixed,density_reconstruction
65789,62501,68751,0.9582237255600144,mixed_keep_75_noise_25,mixed,density_reconstruction
128449,125000,131250,0.9577355538769232,mixed_keep_75_noise_25,mixed,density_reconstruction
78031,75001,81251,0.9574982313056489,mixed_keep_75_noise_25,mixed,density_reconstruction
102841,100001,106250,0.9564311577084955,mixed_keep_75_noise_25,mixed,density_reconstruction
109331,106250,112500,0.9563771324154567,mixed_keep_75_noise_25,mixed,density_reconstruction
103069,100001,106250,0.9561311319189156,mixed_keep_75_noise_25,mixed,density_reconstruction
3469,2,6251,0.956107562081724,mixed_keep_75_noise_25,mixed,density_reconstruction
53309,50001,56251,0.956104361257049,mixed_keep_75_noise_25,mixed,density_reconstruction
121843,118750,125000,0.9556459684783448,mixed_keep_75_noise_25,mixed,density_reconstruction
178501,175000,181250,0.9556041472127146,mixed_keep_75_noise_25,mixed,density_reconstruction
96787,93751,100001,0.9537371331659288,mixed_keep_75_noise_25,mixed,density_reconstruction
2741,2,6251,0.9536539789159492,mixed_keep_75_noise_25,mixed,density_reconstruction
134753,131250,137500,0.9529058488657445,mixed_keep_75_noise_25,mixed,density_reconstruction
122231,118750,125000,0.9528830991052727,mixed_keep_75_noise_25,mixed,density_reconstruction
9199,6251,12501,0.9528056310082653,mixed_keep_75_noise_25,mixed,density_reconstruction
27763,25001,31251,0.9526347861626182,mixed_keep_75_noise_25,mixed,density_reconstruction
109037,106250,112500,0.9519602876359279,mixed_keep_75_noise_25,mixed,density_reconstruction
122251,118750,125000,0.9506470243997073,mixed_keep_75_noise_25,mixed,density_reconstruction
178141,175000,181250,0.9505782592765697,mixed_keep_75_noise_25,mixed,density_reconstruction
134777,131250,137500,0.950221365762477,mixed_keep_75_noise_25,mixed,density_reconstruction
159337,156250,162500,0.9500614852767839,mixed_keep_75_noise_25,mixed,density_reconstruction
147299,143750,150000,0.9500084727678283,mixed_keep_75_noise_25,mixed,density_reconstruction
109481,106250,112500,0.94940748518507,mixed_keep_75_noise_25,mixed,density_reconstruction
133967,131250,137500,0.9493975962889671,mixed_keep_75_noise_25,mixed,density_reconstruction
46601,43751,50001,0.9489996876311567,mixed_keep_75_noise_25,mixed,density_reconstruction
84533,81251,87501,0.9488800037076304,mixed_keep_75_noise_25,mixed,density_reconstruction
159421,156250,162500,0.9482796508818963,mixed_keep_75_noise_25,mixed,density_reconstruction
184463,181250,187500,0.9471663276600382,mixed_keep_75_noise_25,mixed,density_reconstruction
59123,56251,62501,0.9458807946833709,mixed_keep_75_noise_25,mixed,density_reconstruction
28057,25001,31251,0.9449546782196143,mixed_keep_75_noise_25,mixed,density_reconstruction
21851,18751,25001,0.9429772659892063,mixed_keep_75_noise_25,mixed,density_reconstruction
22381,18751,25001,0.9429619903152342,mixed_keep_75_noise_25,mixed,density_reconstruction
15217,12501,18751,0.9428887921785699,mixed_keep_75_noise_25,mixed,density_reconstruction
197023,193750,200000,0.9420553314260156,mixed_keep_75_noise_25,mixed,density_reconstruction
159899,156250,162500,0.940869274066393,mixed_keep_75_noise_25,mixed,density_reconstruction
77761,75001,81251,0.9400754897522628,mixed_keep_75_noise_25,mixed,density_reconstruction
121697,118750,125000,0.9393169318871658,mixed_keep_75_noise_25,mixed,density_reconstruction
127637,125000,131250,0.9392045446579185,mixed_keep_75_noise_25,mixed,density_reconstruction
140111,137500,143750,0.9386642325266141,mixed_keep_75_noise_25,mixed,density_reconstruction
28607,25001,31251,0.9385810136657444,mixed_keep_75_noise_25,mixed,density_reconstruction
146347,143750,150000,0.9381954032523016,mixed_keep_75_noise_25,mixed,density_reconstruction
171329,168750,175000,0.9375729477714625,mixed_keep_75_noise_25,mixed,density_reconstruction
128311,125000,131250,0.9374294049459835,mixed_keep_75_noise_25,mixed,density_reconstruction
165479,162500,168750,0.937301023475414,mixed_keep_75_noise_25,mixed,density_reconstruction
96431,93751,100001,0.9367849277076616,mixed_keep_75_noise_25,mixed,density_reconstruction
9059,6251,12501,0.9366229908033973,mixed_keep_75_noise_25,mixed,density_reconstruction
46489,43751,50001,0.9365112683075836,mixed_keep_75_noise_25,mixed,density_reconstruction
84649,81251,87501,0.9358589681348503,mixed_keep_75_noise_25,mixed,density_reconstruction
127921,125000,131250,0.9354679845808131,mixed_keep_75_noise_25,mixed,density_reconstruction
134503,131250,137500,0.9348694347092599,mixed_keep_75_noise_25,mixed,density_reconstruction
166207,162500,168750,0.934293498849581,mixed_keep_75_noise_25,mixed,density_reconstruction
