scenario,kind,stage,true_positive,false_positive,false_negative
mixed_keep_75_noise_25,mixed,raw,13488,4496,4496
mixed_keep_75_noise_25,mixed,mod6_filter,13488,1206,4496
mixed_keep_75_noise_25,mixed,sieve_filter_full,13488,0,4496
mixed_keep_75_noise_25,mixed,density_reconstruction,17820,0,164
mixed_keep_50_noise_50,mixed,raw,8992,8992,8992
mixed_keep_50_noise_50,mixed,mod6_filter,8992,2373,8992
mixed_keep_50_noise_50,mixed,sieve_filter_full,8992,0,8992
mixed_keep_50_noise_50,mixed,density_reconstruction,17820,0,164
mixed_keep_25_noise_100,mixed,raw,4496,17984,13488
mixed_keep_25_noise_100,mixed,mod6_filter,4496,4766,13488
mixed_keep_25_noise_100,mixed,sieve_filter_full,4496,0,13488
mixed_keep_25_noise_100,mixed,density_reconstruction,17820,0,164
biased_low_missing_high_noise,biased_range,raw,8992,8992,8992
biased_low_missing_high_noise,biased_range,mod6_filter,8992,2428,8992
biased_low_missing_high_noise,biased_range,sieve_filter_full,8992,0,8992
biased_low_missing_high_noise,biased_range,density_reconstruction,17820,0,164
adversarial_mod6_noise_50,adversarial_mod6,raw,8992,8992,8992
adversarial_mod6_noise_50,adversarial_mod6,mod6_filter,8992,8992,8992
adversarial_mod6_noise_50,adversarial_mod6,sieve_filter_full,8992,0,8992
adversarial_mod6_noise_50,adversarial_mod6,density_reconstruction,17820,0,164
adversarial_mod6_noise_100,adversarial_mod6,raw,4496,17984,13488
adversarial_mod6_noise_100,adversarial_mod6,mod6_filter,4496,17984,13488
adversarial_mod6_noise_100,adversarial_mod6,sieve_filter_full,4496,0,13488
adversarial_mod6_noise_100,adversarial_mod6,density_reconstruction,17820,0,164
