scenario,kind,stage,count,true_positive,false_positive,false_negative,recovery,precision,f1,density_drift,mod6_score,gap_drift,mean_gap,q_filter
mixed_keep_75_noise_25,mixed,sieve_q_5,14348,13488,860,4496,0.75,0.940061332589908,0.8343436842756401,0.2609970927362657,1.0,0.7336741333625465,13.939987453823099,5
mixed_keep_75_noise_25,mixed,sieve_q_11,14058,13488,570,4496,0.75,0.9594536918480581,0.8418950127957057,0.2704482330735206,1.0,0.7478848641242897,14.227573450949706,11
mixed_keep_75_noise_25,mixed,sieve_q_31,13791,13488,303,4496,0.75,0.9780291494452904,0.8489693154996066,0.27881575265987385,1.0,0.7642863687995575,14.503045685279188,31
mixed_keep_75_noise_25,mixed,sieve_q_101,13644,13488,156,4496,0.75,0.9885664028144239,0.8529151384848868,0.2830103656308217,1.0,0.7737685809896034,14.659312467932272,101
mixed_keep_75_noise_25,mixed,sieve_q_447,13488,13488,0,4496,0.75,1.0,0.8571428571428571,0.2845889767585735,1.0,0.7837081666815924,14.828872247349299,447
mixed_keep_50_noise_50,mixed,sieve_q_5,10710,8992,1718,8992,0.5,0.8395891690009337,0.6267512371924444,0.4510337804408647,1.0,1.0520842849809455,18.67559996264824,5
mixed_keep_50_noise_50,mixed,sieve_q_11,10146,8992,1154,8992,0.5,0.886260595308496,0.6393174546747246,0.4652818255514452,1.0,1.11981503319019,19.713849186791524,11
mixed_keep_50_noise_50,mixed,sieve_q_31,9613,8992,621,8992,0.5,0.9353999791948403,0.6516650360546437,0.4866684030467009,1.0,1.1989759143410283,20.807012068248024,31
mixed_keep_50_noise_50,mixed,sieve_q_101,9275,8992,283,8992,0.5,0.9694878706199461,0.6597454051872776,0.49425475197932495,1.0,1.256058514103114,21.565343972395947,101
mixed_keep_50_noise_50,mixed,sieve_q_447,8992,8992,0,8992,0.5,1.0,0.6666666666666666,0.4968372371440035,1.0,1.3075577777082723,22.244133021910798,447
mixed_keep_25_noise_100,mixed,sieve_q_5,7957,4496,3461,13488,0.25,0.565037074274224,0.34663274353340273,0.6733288672456534,1.0,1.5546247291032442,25.131221719457013,5
mixed_keep_25_noise_100,mixed,sieve_q_11,6788,4496,2292,13488,0.25,0.6623453152622275,0.36299047311480703,0.7125937308662412,1.0,1.8932287438471835,29.45984971268602,11
mixed_keep_25_noise_100,mixed,sieve_q_31,5739,4496,1243,13488,0.25,0.7834117442063078,0.3790414365805337,0.7452076874057099,1.0,2.339773490764362,34.84559079818752,31
mixed_keep_25_noise_100,mixed,sieve_q_101,5038,4496,542,13488,0.25,0.8924176260420802,0.3905829206845626,0.7645584814773643,1.0,2.7494932106023335,39.67917411157435,101
mixed_keep_25_noise_100,mixed,sieve_q_447,4496,4496,0,13488,0.25,1.0,0.4,0.7695731082188828,1.0,3.1528018723915663,44.46362625139044,447
biased_low_missing_high_noise,biased_range,sieve_q_5,10772,8992,1780,8992,0.5,0.8347567768288154,0.6253999165391569,0.12990802031951457,1.0,1.1186243829495763,18.562343329310185,5
biased_low_missing_high_noise,biased_range,sieve_q_11,10193,8992,1201,8992,0.5,0.8821740410085352,0.6382510558256734,0.1317115443391738,1.0,1.2074539383145726,19.616856357927787,11
biased_low_missing_high_noise,biased_range,sieve_q_31,9678,8992,686,8992,0.5,0.9291175862781567,0.6501337575012652,0.13332237413187562,1.0,1.272763182676198,20.64348455099721,31
biased_low_missing_high_noise,biased_range,sieve_q_101,9344,8992,352,8992,0.5,0.9623287671232876,0.65807962529274,0.13438848175425114,1.0,1.2641598965847887,21.38146205715509,101
biased_low_missing_high_noise,biased_range,sieve_q_447,8992,8992,0,8992,0.5,1.0,0.6666666666666666,0.13544027856446736,1.0,1.1249689002887904,22.107329551773997,447
adversarial_mod6_noise_50,adversarial_mod6,sieve_q_5,15564,8992,6572,8992,0.5,0.5777435106656387,0.5360677238583523,0.3557708997661346,1.0,0.6998998869296053,12.849836149842575,5
adversarial_mod6_noise_50,adversarial_mod6,sieve_q_11,13341,8992,4349,8992,0.5,0.6740124428453639,0.5741101356743815,0.42890614587200976,1.0,0.8108090046017692,14.991154422788606,11
adversarial_mod6_noise_50,adversarial_mod6,sieve_q_31,11292,8992,2300,8992,0.5,0.7963159759121502,0.6142915698865966,0.4925530184257782,1.0,0.9835661548726693,17.71162873084758,31
adversarial_mod6_noise_50,adversarial_mod6,sieve_q_101,10020,8992,1028,8992,0.5,0.8974051896207584,0.6421939722896729,0.521507482204697,1.0,1.1466678574712026,19.96027547659447,101
adversarial_mod6_noise_50,adversarial_mod6,sieve_q_447,8992,8992,0,8992,0.5,1.0,0.6666666666666666,0.5311438993685963,1.0,1.3155711466193076,22.24246468690913,447
