scenario,kind,stage,gap_drift,mean_gap,precision,recovery,f1
mixed_keep_75_noise_25,mixed,raw,0.6399551747321671,11.121448034254573,0.75,0.75,0.75
mixed_keep_75_noise_25,mixed,mod6_filter,0.7184475948042868,13.611719866603144,0.9179256839526337,0.75,0.8255095171063102
mixed_keep_75_noise_25,mixed,sieve_filter_full,0.7837081666815924,14.828872247349299,1.0,0.75,0.8571428571428571
mixed_keep_75_noise_25,mixed,density_reconstruction,0.5842485886569353,11.223806049722207,1.0,0.9908807829181495,0.9954195062004245
mixed_keep_50_noise_50,mixed,raw,0.6809294893370431,11.121448034254573,0.5,0.5,0.5
mixed_keep_50_noise_50,mixed,mod6_filter,0.9851860874699141,17.59917282646955,0.7912010558732953,0.5,0.612763637602644
mixed_keep_50_noise_50,mixed,sieve_filter_full,1.3075577777082723,22.244133021910798,1.0,0.5,0.6666666666666666
mixed_keep_50_noise_50,mixed,density_reconstruction,0.589431141786562,11.223806049722207,1.0,0.9908807829181495,0.9954195062004245
mixed_keep_25_noise_100,mixed,raw,0.6246460787664097,8.896659104052672,0.2,0.25,0.22222222222222224
mixed_keep_25_noise_100,mixed,mod6_filter,1.2906379775386967,21.589893100097182,0.4854243144029367,0.25,0.3300300961609044
mixed_keep_25_noise_100,mixed,sieve_filter_full,3.1528018723915663,44.46362625139044,1.0,0.25,0.4
mixed_keep_25_noise_100,mixed,density_reconstruction,0.5893694195301741,11.221729614456478,1.0,0.9908807829181495,0.9954195062004245
biased_low_missing_high_noise,biased_range,raw,0.6485772097182887,11.118723238614248,0.5,0.5,0.5
biased_low_missing_high_noise,biased_range,mod6_filter,1.0234679093428833,17.508976267624135,0.7873905429071804,0.5,0.6116174670112909
biased_low_missing_high_noise,biased_range,sieve_filter_full,1.1249689002887904,22.107329551773997,1.0,0.5,0.6666666666666666
biased_low_missing_high_noise,biased_range,density_reconstruction,0.5856940660132369,11.222010213816713,1.0,0.9908807829181495,0.9954195062004245
adversarial_mod6_noise_50,adversarial_mod6,raw,0.6346879181073808,11.120613913140188,0.5,0.5,0.5
adversarial_mod6_noise_50,adversarial_mod6,mod6_filter,0.6346879181073808,11.120613913140188,0.5,0.5,0.5
adversarial_mod6_noise_50,adversarial_mod6,sieve_filter_full,1.3155711466193076,22.24246468690913,1.0,0.5,0.6666666666666666
adversarial_mod6_noise_50,adversarial_mod6,density_reconstruction,0.5894370447136502,11.223300970873787,1.0,0.9908807829181495,0.9954195062004245
adversarial_mod6_noise_100,adversarial_mod6,raw,0.5584980724257614,8.896303216335246,0.2,0.25,0.22222222222222224
adversarial_mod6_noise_100,adversarial_mod6,mod6_filter,0.5584980724257614,8.896303216335246,0.2,0.25,0.22222222222222224
adversarial_mod6_noise_100,adversarial_mod6,sieve_filter_full,3.1535313919240964,44.47119021134594,1.0,0.25,0.4
adversarial_mod6_noise_100,adversarial_mod6,density_reconstruction,0.5885541219289745,11.221841854200573,1.0,0.9908807829181495,0.9954195062004245
