scenario,kind,stage,count,true_positive,false_positive,false_negative,recovery,precision,f1,density_drift,mod6_score,gap_drift,mean_gap
mixed_keep_75_noise_25,mixed,raw,17984,13488,4496,4496,0.75,0.75,0.75,0.12499416422418592,0.817039261483706,0.6399551747321671,11.121448034254573
mixed_keep_75_noise_25,mixed,mod6_filter,14694,13488,1206,4496,0.75,0.9179256839526337,0.8255095171063102,0.24515603052797533,1.0,0.7184475948042868,13.611719866603144
mixed_keep_75_noise_25,mixed,sieve_filter_full,13488,13488,0,4496,0.75,1.0,0.8571428571428571,0.2845889767585735,1.0,0.7837081666815924,14.828872247349299
mixed_keep_75_noise_25,mixed,density_reconstruction,17820,17820,0,164,0.9908807829181495,1.0,0.9954195062004245,0.01684623515863574,1.0,0.5842485886569353,11.223806049722207
mixed_keep_50_noise_50,mixed,raw,17984,8992,8992,8992,0.5,0.5,0.5,0.17429017692602258,0.6319301562586888,0.6809294893370431,11.121448034254573
mixed_keep_50_noise_50,mixed,mod6_filter,11365,8992,2373,8992,0.5,0.7912010558732953,0.612763637602644,0.4289316738104027,1.0,0.9851860874699141,17.59917282646955
mixed_keep_50_noise_50,mixed,sieve_filter_full,8992,8992,0,8992,0.5,1.0,0.6666666666666666,0.4968372371440035,1.0,1.3075577777082723,22.244133021910798
mixed_keep_50_noise_50,mixed,density_reconstruction,17820,17820,0,164,0.9908807829181495,1.0,0.9954195062004245,0.02764992909054325,1.0,0.589431141786562,11.223806049722207
mixed_keep_25_noise_100,mixed,raw,22480,4496,17984,13488,0.25,0.2,0.22222222222222224,0.2092931949370693,0.41201067615658366,0.6246460787664097,8.896659104052672
mixed_keep_25_noise_100,mixed,mod6_filter,9262,4496,4766,13488,0.25,0.4854243144029367,0.3300300961609044,0.6319489071227126,1.0,1.2906379775386967,21.589893100097182
mixed_keep_25_noise_100,mixed,sieve_filter_full,4496,4496,0,13488,0.25,1.0,0.4,0.7695731082188828,1.0,3.1528018723915663,44.46362625139044
mixed_keep_25_noise_100,mixed,density_reconstruction,17820,17820,0,164,0.9908807829181495,1.0,0.9954195062004245,0.03875989521464067,1.0,0.5893694195301741,11.221729614456478
biased_low_missing_high_noise,biased_range,raw,17984,8992,8992,8992,0.5,0.5,0.5,0.10758005388003603,0.6349683016349683,0.6485772097182887,11.118723238614248
biased_low_missing_high_noise,biased_range,mod6_filter,11420,8992,2428,8992,0.5,0.7873905429071804,0.6116174670112909,0.1279111210767453,1.0,1.0234679093428833,17.508976267624135
biased_low_missing_high_noise,biased_range,sieve_filter_full,8992,8992,0,8992,0.5,1.0,0.6666666666666666,0.13544027856446736,1.0,1.1249689002887904,22.107329551773997
biased_low_missing_high_noise,biased_range,density_reconstruction,17820,17820,0,164,0.9908807829181495,1.0,0.9954195062004245,0.02081749673783652,1.0,0.5856940660132369,11.222010213816713
adversarial_mod6_noise_50,adversarial_mod6,raw,17984,8992,8992,8992,0.5,0.5,0.5,0.27134594524873806,1.0,0.6346879181073808,11.120613913140188
adversarial_mod6_noise_50,adversarial_mod6,mod6_filter,17984,8992,8992,8992,0.5,0.5,0.5,0.27134594524873806,1.0,0.6346879181073808,11.120613913140188
adversarial_mod6_noise_50,adversarial_mod6,sieve_filter_full,8992,8992,0,8992,0.5,1.0,0.6666666666666666,0.5311438993685963,1.0,1.3155711466193076,22.24246468690913
adversarial_mod6_noise_50,adversarial_mod6,density_reconstruction,17820,17820,0,164,0.9908807829181495,1.0,0.9954195062004245,0.02919915181991542,1.0,0.5894370447136502,11.223300970873787
adversarial_mod6_noise_100,adversarial_mod6,raw,22480,4496,17984,13488,0.25,0.2,0.22222222222222224,0.2367820632559171,1.0,0.5584980724257614,8.896303216335246
adversarial_mod6_noise_100,adversarial_mod6,mod6_filter,22480,4496,17984,13488,0.25,0.2,0.22222222222222224,0.2367820632559171,1.0,0.5584980724257614,8.896303216335246
adversarial_mod6_noise_100,adversarial_mod6,sieve_filter_full,4496,4496,0,13488,0.25,1.0,0.4,0.738270004167759,1.0,3.1535313919240964,44.47119021134594
adversarial_mod6_noise_100,adversarial_mod6,density_reconstruction,17820,17820,0,164,0.9908807829181495,1.0,0.9954195062004245,0.016666348294594756,1.0,0.5885541219289745,11.221841854200573
