candidate,method,bin_left,bin_right,score,scenario,kind,gap_score,neighbor_score,density_score
84377,density_only,81251,87501,0.9998407293701769,mixed_keep_75_noise_25,mixed,,,
40627,density_only,37501,43751,0.9998400824429977,mixed_keep_75_noise_25,mixed,,,
140627,density_only,137500,143750,0.9996815055953453,mixed_keep_75_noise_25,mixed,,,
171877,density_only,168750,175000,0.9996798155541922,mixed_keep_75_noise_25,mixed,,,
109379,density_only,106250,112500,0.9993612213064325,mixed_keep_75_noise_25,mixed,,,
9371,density_only,6251,12501,0.9992008673635334,mixed_keep_75_noise_25,mixed,,,
78121,density_only,75001,81251,0.9991981918998847,mixed_keep_75_noise_25,mixed,,,
3121,density_only,2,6251,0.9991206475443358,mixed_keep_75_noise_25,mixed,,,
184369,density_only,181250,187500,0.9990401133457891,mixed_keep_75_noise_25,mixed,,,
15619,density_only,12501,18751,0.9988788052996088,mixed_keep_75_noise_25,mixed,,,
153133,density_only,150000,156250,0.9987216752555008,mixed_keep_75_noise_25,mixed,,,
34367,density_only,31251,37501,0.9985604019977082,mixed_keep_75_noise_25,mixed,,,
53117,density_only,50001,56251,0.9985589133850918,mixed_keep_75_noise_25,mixed,,,
78137,density_only,75001,81251,0.9982404202833395,mixed_keep_75_noise_25,mixed,,,
128113,density_only,125000,131250,0.9980797047923439,mixed_keep_75_noise_25,mixed,,,
40639,density_only,37501,43751,0.9979191306953717,mixed_keep_75_noise_25,mixed,,,
190639,density_only,187500,193750,0.9977611472735158,mixed_keep_75_noise_25,mixed,,,
159361,density_only,156250,162500,0.9977603467520846,mixed_keep_75_noise_25,mixed,,,
140611,density_only,137500,143750,0.9977586267379701,mixed_keep_75_noise_25,mixed,,,
28111,density_only,25001,31251,0.9975994545622582,mixed_keep_75_noise_25,mixed,,,
103141,density_only,100001,106250,0.9975191438889472,mixed_keep_75_noise_25,mixed,,,
178141,density_only,175000,181250,0.997441912606904,mixed_keep_75_noise_25,mixed,,,
146891,density_only,143750,150000,0.9974402069882284,mixed_keep_75_noise_25,mixed,,,
109391,density_only,106250,112500,0.9974401910833539,mixed_keep_75_noise_25,mixed,,,
15607,density_only,12501,18751,0.9969601258918191,mixed_keep_75_noise_25,mixed,,,
90647,density_only,87501,93751,0.9966413352802109,mixed_keep_75_noise_25,mixed,,,
196853,density_only,193750,200000,0.9964804631391195,mixed_keep_75_noise_25,mixed,,,
109397,density_only,106250,112500,0.9964775514968035,mixed_keep_75_noise_25,mixed,,,
15649,density_only,12501,18751,0.9963195000703688,mixed_keep_75_noise_25,mixed,,,
59399,density_only,56251,62501,0.9963183260262405,mixed_keep_75_noise_25,mixed,,,
134399,density_only,131250,137500,0.9961618260327034,mixed_keep_75_noise_25,mixed,,,
46901,density_only,43751,50001,0.9960007788600066,mixed_keep_75_noise_25,mixed,,,
