scenario,kind,method,mean_density_error,max_density_error,mean_gap_drift,max_gap_drift,mean_precision,mean_recovery,mean_f1,unstable_density_windows_10pct,unstable_gap_windows_gt1
adversarial_mod6_noise_100,adversarial_mod6,adaptive_window,0.009214714799591833,0.02539298669891173,0.589818628293256,0.6220288292823647,1.0,0.9907852852004082,0.9953622383649599,0,0
adversarial_mod6_noise_100,adversarial_mod6,density_only,0.00895340624983008,0.02781136638452237,0.5888363263000921,0.6147594253863489,1.0,0.99104659375017,0.9954964971227552,0,0
adversarial_mod6_noise_100,adversarial_mod6,local_gap_fixed,0.009191665531609182,0.026602176541717048,0.5852629006239127,0.6138319683920891,1.0,0.9908083344683909,0.9953747175921563,0,0
adversarial_mod6_noise_100,adversarial_mod6,raw,0.2768648624931612,0.42563482466747277,0.5563022547556147,0.6927046164507932,0.19852128956473294,0.25013642683572324,0.22081366518203102,38,0
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,0.7498635731642768,0.7849344978165939,3.1482809092213864,3.717846982223161,1.0,0.25013642683572324,0.3999659827302395,40,40
adversarial_mod6_noise_50,adversarial_mod6,adaptive_window,0.009177844615973537,0.026602176541717048,0.5877233966683918,0.6140423502104758,1.0,0.9908221553840264,0.9953821655506836,0,0
adversarial_mod6_noise_50,adversarial_mod6,density_only,0.009002539193085284,0.026602176541717048,0.5891266956871142,0.6184831917404456,1.0,0.9909974608069148,0.9954714480896272,0,0
adversarial_mod6_noise_50,adversarial_mod6,local_gap_fixed,0.009150158679865112,0.026602176541717048,0.5850862939920605,0.6093467771150911,1.0,0.9908498413201346,0.9953965033493514,0,0
adversarial_mod6_noise_50,adversarial_mod6,raw,0.04569497768377274,0.18795768917819367,0.6313869430782256,0.75129850314061,0.496979710891251,0.5004583251801458,0.49825251081610267,2,0
adversarial_mod6_noise_50,adversarial_mod6,sieve_cleaned,0.4995416748198542,0.5299647473560517,1.3135748254277075,1.44733887665051,1.0,0.5004583251801458,0.6669269378985831,40,40
biased_low_missing_high_noise,biased_range,adaptive_window,0.00905029863299473,0.02902055622732769,0.5878734185469857,0.6214210163410987,1.0,0.9909497013670052,0.9954464176249838,0,0
biased_low_missing_high_noise,biased_range,density_only,0.009041533397800904,0.026602176541717048,0.5887918593203133,0.6157090229066521,1.0,0.9909584666021992,0.9954518757784395,0,0
biased_low_missing_high_noise,biased_range,local_gap_fixed,0.009091547051547931,0.02902055622732769,0.586610677186666,0.6221408875439024,1.0,0.990908452948452,0.9954261413040444,0,0
biased_low_missing_high_noise,biased_range,raw,0.10811617801607301,0.23357664233576642,0.6489921876147575,0.6966171217239614,0.5063695024087481,0.46064882758443204,0.48217368267477917,24,0
biased_low_missing_high_noise,biased_range,sieve_cleaned,0.5393511724155681,0.9705159705159705,6.773291580094718,14.943009918425291,1.0,0.46064882758443204,0.5069146899342071,31,21
mixed_keep_25_noise_100,mixed,adaptive_window,0.009008283334195991,0.02418379685610641,0.5904190192814435,0.6191533663629922,1.0,0.990991716665804,0.9954662931504356,0,0
mixed_keep_25_noise_100,mixed,density_only,0.008950553083650076,0.026602176541717048,0.5891167920271009,0.6157090229066521,1.0,0.9910494469163499,0.995497953799428,0,0
mixed_keep_25_noise_100,mixed,local_gap_fixed,0.009023173482606063,0.02781136638452237,0.5855040882539748,0.610528915495465,1.0,0.9909768265173939,0.9954595768190677,0,0
mixed_keep_25_noise_100,mixed,raw,0.26758638568224236,0.4095940959409594,0.6232397278639226,0.7166728087460829,0.19880258409817003,0.25014630454000353,0.22116589733611142,37,0
mixed_keep_25_noise_100,mixed,sieve_cleaned,0.7498536954599965,0.7807933194154488,3.143167390894612,3.6316277860640036,1.0,0.25014630454000353,0.40005154549750177,40,40
mixed_keep_50_noise_50,mixed,adaptive_window,0.009098074204462422,0.026602176541717048,0.5882321675646527,0.6174204136305154,1.0,0.9909019257955375,0.9954235628315289,0,0
mixed_keep_50_noise_50,mixed,density_only,0.008981377167227906,0.026602176541717048,0.5886086605216608,0.6172442525224459,1.0,0.9910186228327721,0.9954826151856594,0,0
mixed_keep_50_noise_50,mixed,local_gap_fixed,0.009092245560215272,0.026602176541717048,0.5851970748878681,0.6133937569778428,1.0,0.9909077544397847,0.9954262699563614,0,0
mixed_keep_50_noise_50,mixed,raw,0.042010037748833565,0.12042310821806347,0.6790978480359552,0.7270577740570733,0.4977924960031297,0.4997723949000491,0.4984709388880889,1,0
mixed_keep_50_noise_50,mixed,sieve_cleaned,0.5002276050999509,0.5301353013530136,1.308380054940357,1.4774299672414726,1.0,0.4997723949000491,0.6663411954076027,40,40
mixed_keep_75_noise_25,mixed,adaptive_window,0.009114926196033695,0.02418379685610641,0.5859448988045853,0.6098950732991852,1.0,0.9908850738039664,0.9954148685910458,0,0
mixed_keep_75_noise_25,mixed,density_only,0.008993375423206546,0.02539298669891173,0.5885408038717017,0.615358885846712,1.0,0.9910066245767934,0.9954760581735741,0,0
mixed_keep_75_noise_25,mixed,local_gap_fixed,0.009097338626839455,0.02539298669891173,0.5842357621479903,0.6070595736430373,1.0,0.9909026613731605,0.9954233746236547,0,0
mixed_keep_75_noise_25,mixed,raw,0.02980903079599715,0.09926769731489016,0.6383564466791918,0.6682422517631292,0.7479653028290149,0.7517148076933335,0.7495777792138464,0,0
mixed_keep_75_noise_25,mixed,sieve_cleaned,0.2482851923066665,0.2774613506916192,0.7826351271688623,0.8290611278729714,1.0,0.7517148076933335,0.8581724184073078,40,0
