scenario,kind,method,window_left,window_right,window_mid,true_prime_count,observed_count,true_positive,false_positive,false_negative,density_error,precision,recovery,f1,gap_drift
mixed_keep_75_noise_25,mixed,raw,2,10002,5002.0,1229,1107,888,219,341,0.09926769731489016,0.8021680216802168,0.7225386493083807,0.7602739726027397,0.6682422517631292
mixed_keep_75_noise_25,mixed,raw,5002,15002,10002.0,1085,1022,807,215,278,0.05806451612903226,0.7896281800391389,0.743778801843318,0.7660180351210251,0.6558283181105754
mixed_keep_75_noise_25,mixed,raw,10002,20002,15002.0,1033,982,767,215,266,0.049370764762826716,0.7810590631364562,0.7424975798644724,0.7612903225806452,0.66272532170583
mixed_keep_75_noise_25,mixed,raw,15002,25002,20002.0,1008,988,756,232,252,0.01984126984126984,0.7651821862348178,0.75,0.7575150300601202,0.6473840669553759
mixed_keep_75_noise_25,mixed,raw,20002,30002,25002.0,983,991,756,235,227,0.008138351983723296,0.7628657921291625,0.7690742624618515,0.7659574468085107,0.6266851542185153
mixed_keep_75_noise_25,mixed,raw,25002,35002,30002.0,970,940,729,211,241,0.030927835051546393,0.7755319148936171,0.7515463917525773,0.7633507853403142,0.6342403593349422
mixed_keep_75_noise_25,mixed,raw,30002,40002,35002.0,958,907,706,201,252,0.05323590814196242,0.7783902976846747,0.7369519832985386,0.7571045576407507,0.6429218380691857
mixed_keep_75_noise_25,mixed,raw,35002,45002,40002.0,943,904,697,207,246,0.041357370095440084,0.7710176991150443,0.7391304347826086,0.7547374120194911,0.6405229782663894
mixed_keep_75_noise_25,mixed,raw,40002,50002,45002.0,930,917,691,226,239,0.013978494623655914,0.7535441657579062,0.7430107526881721,0.7482403898213319,0.647390761396305
mixed_keep_75_noise_25,mixed,raw,45002,55002,50002.0,916,920,697,223,219,0.004366812227074236,0.7576086956521739,0.7609170305676856,0.7592592592592593,0.649483457187591
mixed_keep_75_noise_25,mixed,raw,50002,60002,55002.0,924,910,715,195,209,0.015151515151515152,0.7857142857142857,0.7738095238095238,0.7797164667393675,0.6403442621638209
mixed_keep_75_noise_25,mixed,raw,55002,65002,60002.0,902,885,676,209,226,0.018847006651884702,0.7638418079096045,0.7494456762749445,0.7565752658086178,0.6520619361276301
mixed_keep_75_noise_25,mixed,raw,60002,70002,65002.0,879,845,637,208,242,0.038680318543799774,0.7538461538461538,0.7246871444823664,0.7389791183294664,0.6569233013340569
mixed_keep_75_noise_25,mixed,raw,65002,75002,70002.0,900,868,671,197,229,0.035555555555555556,0.7730414746543779,0.7455555555555555,0.7590497737556561,0.6276313642111989
mixed_keep_75_noise_25,mixed,raw,70002,80002,75002.0,901,903,677,226,224,0.0022197558268590455,0.7497231450719822,0.7513873473917869,0.7505543237250555,0.6371493424033381
mixed_keep_75_noise_25,mixed,raw,75002,85002,80002.0,884,901,647,254,237,0.019230769230769232,0.7180910099889012,0.7319004524886877,0.7249299719887955,0.6398261772691687
mixed_keep_75_noise_25,mixed,raw,80002,90002,85002.0,877,907,647,260,230,0.03420752565564424,0.7133406835722161,0.7377423033067275,0.7253363228699552,0.6144510653942014
mixed_keep_75_noise_25,mixed,raw,85002,95002,90002.0,880,901,656,245,224,0.023863636363636365,0.7280799112097669,0.7454545454545455,0.7366647950589555,0.6179189106622084
mixed_keep_75_noise_25,mixed,raw,90002,100002,95002.0,878,875,652,223,226,0.003416856492027335,0.7451428571428571,0.7425968109339408,0.7438676554478039,0.6495774193967468
mixed_keep_75_noise_25,mixed,raw,95002,105002,100002.0,867,869,641,228,226,0.002306805074971165,0.7376294591484465,0.7393310265282583,0.738479262672811,0.6409614381832199
mixed_keep_75_noise_25,mixed,raw,100002,110002,105002.0,861,874,627,247,234,0.015098722415795587,0.717391304347826,0.7282229965156795,0.7227665706051873,0.635241118282625
mixed_keep_75_noise_25,mixed,raw,105002,115002,110002.0,848,865,625,240,223,0.020047169811320754,0.7225433526011561,0.7370283018867925,0.7297139521307647,0.6446558671322533
mixed_keep_75_noise_25,mixed,raw,110002,120002,115002.0,848,887,646,241,202,0.045990566037735846,0.7282976324689966,0.7617924528301887,0.7446685878962536,0.6189080798854492
mixed_keep_75_noise_25,mixed,raw,115002,125002,120002.0,862,897,649,248,213,0.04060324825986079,0.7235228539576366,0.7529002320185615,0.7379192723138147,0.6278857180136302
mixed_keep_75_noise_25,mixed,raw,120002,130002,125002.0,858,866,626,240,232,0.009324009324009324,0.7228637413394919,0.7296037296037297,0.7262180974477958,0.6547278501758268
mixed_keep_75_noise_25,mixed,raw,125002,135002,130002.0,842,859,626,233,216,0.020190023752969122,0.7287543655413271,0.7434679334916865,0.7360376249265138,0.6569816545951782
mixed_keep_75_noise_25,mixed,raw,130002,140002,135002.0,851,866,647,219,204,0.01762632197414806,0.7471131639722863,0.7602820211515864,0.7536400698893418,0.6508237675665204
mixed_keep_75_noise_25,mixed,raw,135002,145002,140002.0,846,848,643,205,203,0.002364066193853428,0.7582547169811321,0.7600472813238771,0.7591499409681227,0.6522612208738734
mixed_keep_75_noise_25,mixed,raw,140002,150002,145002.0,839,850,632,218,207,0.013110846245530394,0.7435294117647059,0.7532777115613826,0.7483718176435761,0.6314505846000983
mixed_keep_75_noise_25,mixed,raw,145002,155002,150002.0,850,864,643,221,207,0.01647058823529412,0.7442129629629629,0.7564705882352941,0.7502917152858809,0.6426058833749614
mixed_keep_75_noise_25,mixed,raw,150002,160002,155002.0,835,868,643,225,192,0.03952095808383234,0.7407834101382489,0.770059880239521,0.7551379917792133,0.6582773388764045
mixed_keep_75_noise_25,mixed,raw,155002,165002,160002.0,822,876,644,232,178,0.06569343065693431,0.7351598173515982,0.7834549878345499,0.7585394581861014,0.6326618461669358
mixed_keep_75_noise_25,mixed,raw,160002,170002,165002.0,813,861,630,231,183,0.05904059040590406,0.7317073170731707,0.7749077490774908,0.7526881720430108,0.6331971616397385
mixed_keep_75_noise_25,mixed,raw,165002,175002,170002.0,822,858,620,238,202,0.043795620437956206,0.7226107226107226,0.754257907542579,0.738095238095238,0.6138846966376947
mixed_keep_75_noise_25,mixed,raw,170002,180002,175002.0,846,857,633,224,213,0.013002364066193853,0.7386231038506418,0.74822695035461,0.743394010569583,0.614782761492047
mixed_keep_75_noise_25,mixed,raw,175002,185002,180002.0,829,832,634,198,195,0.0036188178528347406,0.7620192307692307,0.7647768395657418,0.7633955448524985,0.6474645562256471
mixed_keep_75_noise_25,mixed,raw,180002,190002,185002.0,827,846,642,204,185,0.022974607013301087,0.7588652482269503,0.7762998790810157,0.7674835624626419,0.6185893752008382
mixed_keep_75_noise_25,mixed,raw,185002,195002,190002.0,828,860,629,231,199,0.03864734299516908,0.7313953488372092,0.7596618357487923,0.745260663507109,0.6061643349705362
mixed_keep_75_noise_25,mixed,raw,190002,200000,195001.0,814,865,626,239,188,0.06265356265356266,0.7236994219653179,0.769041769041769,0.7456819535437761,0.6221871191474575
mixed_keep_75_noise_25,mixed,raw,195002,200000,197501.0,411,440,322,118,89,0.0705596107055961,0.7318181818181818,0.7834549878345499,0.7567567567567568,0.6192372081565267
mixed_keep_75_noise_25,mixed,sieve_cleaned,2,10002,5002.0,1229,888,888,0,341,0.2774613506916192,1.0,0.7225386493083807,0.838923004251299,0.7876458258815131
mixed_keep_75_noise_25,mixed,sieve_cleaned,5002,15002,10002.0,1085,807,807,0,278,0.25622119815668204,1.0,0.743778801843318,0.8530655391120507,0.7669127173701101
mixed_keep_75_noise_25,mixed,sieve_cleaned,10002,20002,15002.0,1033,767,767,0,266,0.2575024201355276,1.0,0.7424975798644724,0.8522222222222222,0.7922851977723849
mixed_keep_75_noise_25,mixed,sieve_cleaned,15002,25002,20002.0,1008,756,756,0,252,0.25,1.0,0.75,0.8571428571428571,0.783877315769885
mixed_keep_75_noise_25,mixed,sieve_cleaned,20002,30002,25002.0,983,756,756,0,227,0.23092573753814852,1.0,0.7690742624618515,0.8694652098907417,0.7512549836831968
