p,next_p,gap,log_x,z_gap_over_logx
101,103,2,4.61512051684126,0.4333581306710633
337,347,10,5.820082930352362,1.718188575604124
349,353,4,5.855071922202427,0.6831683800214313
593,599,6,6.385194398997726,0.9396738180660265
641,643,2,6.46302945692067,0.3094524036028309
743,751,8,6.610696044717759,1.2101600112732995
757,761,4,6.6293632534374485,0.6033761987512036
953,967,14,6.859614903654202,2.0409308972347744
1019,1021,2,6.926577033222725,0.28874290871337654
1123,1129,6,7.023758954738443,0.8542434384016291
1163,1171,8,7.0587581525186645,1.1333438300539433
1277,1279,2,7.152268856032539,0.2796315463327573
1657,1663,6,7.4127640174265625,0.8094146779655584
1997,1999,2,7.599401333415815,0.26317862582223045
2267,2269,2,7.726212650507529,0.25885904135302584
2351,2357,6,7.762596048540069,0.7729372960387956
3019,3023,4,8.012680929706839,0.49920869620180275
3109,3119,10,8.042056410058754,1.243463051004257
3181,3187,6,8.064950891749143,0.7439598926929991
3209,3217,8,8.073714641109857,0.990869798551646
3301,3307,6,8.101980731853192,0.7405596481377462
3323,3329,6,8.108623268354595,0.7399529860286038
3527,3529,2,8.168202930236053,0.24485189913642388
3541,3547,6,8.172164452111904,0.734199615678248
3613,3617,4,8.19229373114764,0.48826374288701796
3677,3691,14,8.209852481301272,1.7052681557782365
3779,3793,14,8.237214703349489,1.6996036286764744
3803,3821,18,8.24354550792826,2.183526491445754
3989,4001,12,8.291295851905407,1.4473009061957791
4129,4133,4,8.32579052588609,0.48043485931617186
4177,4201,24,8.337348564497175,2.87861300440273
4271,4273,2,8.359603270841466,0.23924580332371237
4409,4421,12,8.391403185357937,1.4300349697102699
4931,4933,2,8.503297086224126,0.23520288421301017
4937,4943,6,8.504513138258863,0.705507758346339
5209,5227,18,8.558143177745192,2.1032599742906437
5437,5441,4,8.600982717145921,0.4650631365676464
5503,5507,4,8.613048677059759,0.4644116328581441
5683,5689,6,8.645234541297121,0.6940239702391887
5843,5849,6,8.672999642554437,0.691802173098307
5861,5867,6,8.676075516476429,0.6915569128698352
5881,5897,16,8.679482094459956,1.8434279633127733
5927,5939,12,8.687273461787838,1.3813309840865082
6101,6113,12,8.716207971151853,1.3767454883725303
6113,6121,8,8.718172930028725,0.9176234589755541
6203,6211,8,8.732788324973118,0.9160877032966016
6301,6311,10,8.748463629942055,1.1430578468400439
6469,6473,4,8.774776816043985,0.4558520500129777
