window_index,window_midpoint,threshold,empirical_tail_probability,exp1_tail_probability
0,134.64370678952923,1.0,0.4375,0.36787944117144233
0,134.64370678952923,2.0,0.125,0.1353352832366127
0,134.64370678952923,3.0,0.0,0.049787068367863944
0,134.64370678952923,4.0,0.0,0.01831563888873418
0,134.64370678952923,5.0,0.0,0.006737946999085467
1,239.28497560561829,1.0,0.48,0.36787944117144233
1,239.28497560561829,2.0,0.16,0.1353352832366127
1,239.28497560561829,3.0,0.0,0.049787068367863944
1,239.28497560561829,4.0,0.0,0.01831563888873418
1,239.28497560561829,5.0,0.0,0.006737946999085467
2,425.2504696716655,1.0,0.4864864864864865,0.36787944117144233
2,425.2504696716655,2.0,0.02702702702702703,0.1353352832366127
2,425.2504696716655,3.0,0.0,0.049787068367863944
2,425.2504696716655,4.0,0.0,0.01831563888873418
2,425.2504696716655,5.0,0.0,0.006737946999085467
3,755.7430695273714,1.0,0.38461538461538464,0.36787944117144233
3,755.7430695273714,2.0,0.07692307692307693,0.1353352832366127
3,755.7430695273714,3.0,0.0,0.049787068367863944
3,755.7430695273714,4.0,0.0,0.01831563888873418
3,755.7430695273714,5.0,0.0,0.006737946999085467
4,1343.0851412807015,1.0,0.35454545454545455,0.36787944117144233
4,1343.0851412807015,2.0,0.07272727272727272,0.1353352832366127
4,1343.0851412807015,3.0,0.02727272727272727,0.049787068367863944
4,1343.0851412807015,4.0,0.00909090909090909,0.01831563888873418
4,1343.0851412807015,5.0,0.0,0.006737946999085467
5,2386.8928071773325,1.0,0.436046511627907,0.36787944117144233
5,2386.8928071773325,2.0,0.11046511627906977,0.1353352832366127
5,2386.8928071773325,3.0,0.023255813953488372,0.049787068367863944
5,2386.8928071773325,4.0,0.0,0.01831563888873418
5,2386.8928071773325,5.0,0.0,0.006737946999085467
6,4241.9181761792515,1.0,0.36394557823129253,0.36787944117144233
6,4241.9181761792515,2.0,0.1054421768707483,0.1353352832366127
6,4241.9181761792515,3.0,0.023809523809523808,0.049787068367863944
6,4241.9181761792515,4.0,0.0,0.01831563888873418
6,4241.9181761792515,5.0,0.0,0.006737946999085467
7,7538.616631334574,1.0,0.3967280163599182,0.36787944117144233
7,7538.616631334574,2.0,0.1083844580777096,0.1353352832366127
7,7538.616631334574,3.0,0.028629856850715747,0.049787068367863944
7,7538.616631334574,4.0,0.0,0.01831563888873418
7,7538.616631334574,5.0,0.0,0.006737946999085467
8,13397.415592165522,1.0,0.4189189189189189,0.36787944117144233
8,13397.415592165522,2.0,0.10319410319410319,0.1353352832366127
8,13397.415592165522,3.0,0.025798525798525797,0.049787068367863944
8,13397.415592165522,4.0,0.002457002457002457,0.01831563888873418
8,13397.415592165522,5.0,0.0,0.006737946999085467
9,23809.506879967746,1.0,0.404099560761347,0.36787944117144233
9,23809.506879967746,2.0,0.09004392386530015,0.1353352832366127
9,23809.506879967746,3.0,0.0212298682284041,0.049787068367863944
9,23809.506879967746,4.0,0.004392386530014641,0.01831563888873418
9,23809.506879967746,5.0,0.0021961932650073207,0.006737946999085467
10,42313.58010560905,1.0,0.3839479392624729,0.36787944117144233
10,42313.58010560905,2.0,0.10715835140997831,0.1353352832366127
10,42313.58010560905,3.0,0.020824295010845987,0.049787068367863944
10,42313.58010560905,4.0,0.006073752711496746,0.01831563888873418
10,42313.58010560905,5.0,0.0026030368763557484,0.006737946999085467
11,75198.49404609842,1.0,0.40184994861253853,0.36787944117144233
11,75198.49404609842,2.0,0.10637204522096609,0.1353352832366127
11,75198.49404609842,3.0,0.02723535457348407,0.049787068367863944
11,75198.49404609842,4.0,0.004367934224049332,0.01831563888873418
11,75198.49404609842,5.0,0.0010277492291880781,0.006737946999085467
12,133640.63009292618,1.0,0.409935995123438,0.36787944117144233
12,133640.63009292618,2.0,0.11338006705272782,0.1353352832366127
12,133640.63009292618,3.0,0.028802194452910698,0.049787068367863944
12,133640.63009292618,4.0,0.006400487656202377,0.01831563888873418
12,133640.63009292618,5.0,0.001828710758914965,0.006737946999085467
13,237502.33615962902,1.0,0.34367713004484307,0.36787944117144233
13,237502.33615962902,2.0,0.10161434977578475,0.1353352832366127
13,237502.33615962902,3.0,0.029327354260089686,0.049787068367863944
13,237502.33615962902,4.0,0.007443946188340807,0.01831563888873418
13,237502.33615962902,5.0,0.0017937219730941704,0.006737946999085467
14,422082.4134251606,1.0,0.36940692275221615,0.36787944117144233
14,422082.4134251606,2.0,0.1063212325875897,0.1353352832366127
14,422082.4134251606,3.0,0.028440270156184045,0.049787068367863944
14,422082.4134251606,4.0,0.007598142676234698,0.01831563888873418
14,422082.4134251606,5.0,0.002110595187842972,0.006737946999085467
15,750112.889849927,1.0,0.3858113769667629,0.36787944117144233
15,750112.889849927,2.0,0.11504205070912081,0.1353352832366127
15,750112.889849927,3.0,0.0304751264624647,0.049787068367863944
15,750112.889849927,4.0,0.00782050088446141,0.01831563888873418
15,750112.889849927,5.0,0.0018309902864413617,0.006737946999085467
