window_index,x_low,x_high,window_midpoint,n_gaps,mean_gap,std_gap,mean_logx,mean_gap_over_mean_logx,std_gap_over_mean_logx,mean_z,std_z,q50_z,q75_z,q90_z,q95_z,q99_z,js_divergence_to_exp1,distributional_score
0,101.0,179.49433443588833,134.64370678952923,16,5.0,3.1622776601683795,4.909071666922724,1.0185225108221478,0.6441701964702969,1.019856082334696,0.6582820269450369,0.8578414033309036,1.188955157956339,1.6286389484002277,2.2602854512067734,2.821230178953735,0.1954151596896681,0.8365294616638472
1,179.49433443588833,318.992238560223,239.28497560561829,25,6.0,3.919183588453085,5.508928825187644,1.0891409546928807,0.7114238925240771,1.0893777304677192,0.7096256574122196,0.7600675427242585,1.7713389535511572,2.257093597538791,2.398218196896706,2.45662708800224,0.2713742170131341,0.7865504794877158
2,318.992238560223,566.9039559463497,425.2504696716655,37,6.4324324324324325,3.325093297130745,6.075128894512962,1.058814149316599,0.5473288476453495,1.0572234731904588,0.5377640684251803,0.9883477542315495,1.3346765902687596,1.6849947841373822,1.9308026893637908,2.5432371751491463,0.19471767487342595,0.8370178336115642
3,566.9039559463497,1007.485626353091,755.7430695273714,65,6.769230769230769,3.789740120049763,6.637980589593241,1.019772606723692,0.570917626061029,1.0182781143721324,0.5646533050845342,0.9205741972499074,1.4655694955010294,1.8272287147542678,2.0648892829965213,2.408031453290257,0.1349051163865535,0.8811309294154206
4,1007.485626353091,1790.4748708512107,1343.0851412807015,110,7.2,5.272225681471122,7.225372175871673,0.9964884610433771,0.7296822299447956,0.9963538216988208,0.7290835843919782,0.8312351861029265,1.3503894227462792,1.685990020608669,2.5071736236476565,3.2250908221198724,0.16853156693943755,0.8557749129697476
5,1790.4748708512107,3181.9811412635754,2386.8928071773325,172,8.05813953488372,5.4959914592423535,7.8024088650064245,1.0327758611861833,0.7043967516098412,1.0327513458213133,0.7034473207500176,0.7776206910353569,1.372674976423462,2.0334788293747303,2.3612785276285653,3.257712075815325,0.11473232205485741,0.8970763475814857
6,3181.9811412635754,5654.926605333206,4241.9181761792515,294,8.401360544217686,6.228265462062951,8.374866394662952,1.003163531011267,0.7436853519277675,1.0029930299187688,0.7417768199054928,0.7230405283733071,1.4106240340112037,2.099502831984465,2.6520349116061035,3.4973992450898894,0.10205593256848147,0.9073949610428327
7,5654.926605333206,10049.775121862187,7538.616631334574,489,9.006134969325153,6.470474327804188,8.952107722502753,1.0060351426163687,0.7227878091256065,1.0060392230496622,0.7218704175775598,0.6910691613993014,1.3240818407349118,2.019611524324622,2.4667787386357025,3.39594666690935,0.09610208027339029,0.9123237862577357
8,10049.775121862187,17860.175215138628,13397.415592165522,814,9.584766584766585,7.0092647626612665,9.527305491753784,1.006031200853435,0.7357027407936094,1.0060232417408368,0.7349495931554842,0.8203133134366678,1.2862181411530056,2.0517838704723177,2.496029321002023,3.4091705988282017,0.08896664320183355,0.9183017737437307
9,17860.175215138628,31740.59666484808,23809.506879967746,1366,10.159590043923865,7.614485375470474,10.101729498876383,1.0057277860245533,0.7537803676407525,1.0056712990444332,0.7528713956693255,0.7907278843134131,1.3611130062318209,1.9536185781852364,2.412141297813416,3.5399632666773697,0.02518721404981723,0.9754315956104059
10,31740.59666484808,56408.48785103844,42313.58010560905,2305,10.705422993492407,8.19483415431564,10.676996857751494,1.0026623718372902,0.7675223907522455,1.0026042941985365,0.7679972931720928,0.7599435957049727,1.309806904732434,2.0278001588121044,2.4973801313070214,3.5996011318133148,0.018457709733514766,0.9818768029765866
11,56408.48785103844,100247.56419165382,75198.49404609842,3892,11.266700924974307,8.659114162434703,11.252604270216949,1.0012527459794058,0.769520899739928,1.001223488462585,0.7689682510442123,0.7305974066820717,1.3917893254435234,2.0908697017843743,2.615366367683034,3.572855064822943,0.0165500831704066,0.9837193627304713
12,100247.56419165382,178157.12686534543,133640.63009292618,6562,11.871685461749466,9.337715071749049,11.827570826523202,1.0037298136593982,0.7894871405723753,1.0036879987169964,0.7892096175862134,0.8364135393549184,1.3567104030894137,2.0384239475097643,2.544978836350377,3.712611040990362,0.02103304266452747,0.9794002331113214
13,178157.12686534543,316615.7912050029,237502.33615962902,11150,12.417219730941705,9.9427738990797,12.402496303507881,1.0011871341924656,0.801675215679566,1.0011351612027988,0.8013135632401746,0.8033815340407326,1.4242768367124612,2.0650048688500737,2.5350535751063115,3.7767163339309895,0.02323166583218189,0.9772957907696418
14,316615.7912050029,562680.6011310314,422082.4134251606,18952,12.983853946813001,10.404876410042506,12.977886804257503,1.000459793080761,0.8017388783687881,1.0004311383229223,0.8014392895587147,0.7758026345572488,1.379385928527815,2.0470401528491906,2.575460506205469,3.759150892960534,0.01968891634719291,0.9806912519773932
15,562680.6011310314,999980.0,750112.889849927,32223,13.570803463364678,10.963586832128689,13.553066151565467,1.0013087305559385,0.8089377495484535,1.0012860901928795,0.8087722002626873,0.7492089824199029,1.3389870338806404,2.0989129375203674,2.6201083698359913,3.80882645435973,0.023038874603272877,0.9774799617343894
