window_index,left,right,midpoint,gap_count,mean_normalized_gap,std_normalized_gap,median_normalized_gap,q75_normalized_gap,q90_normalized_gap,q95_normalized_gap
7,2714,4705,3573.4255274176344,239,1.020989975035646,0.7136664623349308,0.7433246519774759,1.4365338194182975,1.9939722282198307,2.461459321595676
8,4705,8157,6195.053268536115,388,1.0127468809354092,0.7368430522156542,0.6999023282335521,1.3532897961825998,2.0463913483055554,2.67395962017249
9,8157,14142,10740.404740976943,640,1.0046316498134247,0.733048811405418,0.6657971097080779,1.3055955614685304,2.1008989737720865,2.5284313737240476
10,14142,24516,18620.02341566734,1056,0.9969203699246688,0.7384692710105447,0.8020307374020601,1.2452902871785945,1.8628321793625502,2.4506748299243792
11,24516,42501,32279.32025306605,1728,1.000699428111228,0.7716254835891948,0.7704510336248371,1.327431667643399,1.9451747648753244,2.474006015942048
12,42501,73680,55959.57183538845,2828,1.0061602602571333,0.7576574535056825,0.7473883333069162,1.3047123347726917,2.0236005622735767,2.5721666508192245
13,73680,127731,97011.44303637587,4690,1.001695548697824,0.7859978218142402,0.8538259088667652,1.374763208626836,2.0778129653015287,2.580802612620115
14,127731,221434,168178.43575797701,7764,1.0012049757389512,0.7961043567998818,0.8218076128698534,1.3425717898664655,2.0210840657741884,2.517032874669565
15,221434,383876,291553.0795309835,12864,1.0017201942013014,0.8019847235034918,0.7943301376589506,1.4083047956445722,2.068245871210381,2.539754509118014
16,383876,665484,505433.80969618564,21392,1.0005987820885482,0.8049712758457241,0.76718216114843,1.3668589851339759,2.1088031067411137,2.586357773230321
17,665484,1153676,876215.110109384,35588,1.0007948775202007,0.8141734032763124,0.7421780866680208,1.3272356702350367,2.1501040778190315,2.60583546712375
18,1153676,2000000,1518997.0375217984,59359,1.0000429181151087,0.8273532023097014,0.8287785139334832,1.287903896486198,2.092007687880172,2.5782186724585303
