window_index,midpoint,residue_concentration_score,mean_l1,max_l1
8,6195.053268536115,1.038157416647049,1.6298454021187405,1.6920360921987008
9,10740.404740976943,1.032027541403744,1.6304567546154338,1.6826762758319258
10,18620.02341566734,1.0514805161230145,1.450076278664179,1.5247269539086026
11,32279.32025306605,1.0357109655060308,1.5820673296221643,1.6385644814595555
12,55959.57183538845,1.0459402357090817,1.5294992917839563,1.5997648497664307
13,97011.44303637587,1.0390831669942726,1.4718670396864815,1.5293922649929532
14,168178.43575797701,1.0580557509807933,1.4195786578262983,1.5019933628837687
15,291553.0795309835,1.0462755363159553,1.4688995700637895,1.5368736854638136
16,505433.80969618564,1.0641517459001324,1.4351965170663856,1.5272668793470476
17,876215.110109384,1.070543376213209,1.368780368875219,1.4653387573911092
18,1518997.0375217984,1.0338153470858078,1.3909556096718905,1.4379912563949309
