k,max_tv_to_stationary,mean_tv_to_stationary,max_l2_to_stationary,mean_l2_to_stationary
1,0.3122287164491645,0.29087909417293517,0.24607883336148523,0.2390098774549781
2,0.09796382370886891,0.09371381677474008,0.08164013194641524,0.07760041822108409
3,0.0374540878172232,0.035039018767619515,0.030314765149809856,0.02820493941148488
4,0.015029592852706594,0.013955624274428851,0.011336255519806783,0.010616075271794177
5,0.005549220379469651,0.005241601435089313,0.004320474011385301,0.004032062543974379
6,0.0021374009189337947,0.0019940218656909533,0.0016345063336719997,0.0015353118182341173
7,0.0007979085248791054,0.0007554453943729592,0.000625718797224647,0.0005849341683409469
8,0.00030260610782588404,0.00028346322986025005,0.00023721552094526757,0.00022291284722543886
9,0.00011144801458333464,0.00010588584212456627,9.08734924654204e-05,8.494656935448074e-05
10,4.194253340391446e-05,3.9531697147556465e-05,3.446948587679188e-05,3.237434994809261e-05
11,1.640698558964815e-05,1.5252141003584997e-05,1.3192710987360596e-05,1.233743884430192e-05
12,6.386964313986887e-06,5.945659774607599e-06,5.009864923817476e-06,4.701936348622934e-06
13,2.468034454077006e-06,2.303921221095441e-06,1.914728990891429e-06,1.7918748940251314e-06
14,9.52665168522937e-07,8.871237306157936e-07,7.281993121589708e-07,6.828918552165742e-07
15,3.6224611639490423e-07,3.3956981013421456e-07,2.778589948920409e-07,2.602496312193517e-07
16,1.3870212989264274e-07,1.2919986425684316e-07,1.0585222866758e-07,9.918060121963194e-08
17,5.190806354887778e-08,4.88611380739315e-08,4.032036466840997e-08,3.779831165718541e-08
18,1.971359637337189e-08,1.8368748107636113e-08,1.5386856929353715e-08,1.4404618774535961e-08
19,7.257014038308807e-09,6.860819115953043e-09,5.851183455922714e-09,5.489772314613471e-09
20,2.7322400592000307e-09,2.571622045519084e-09,2.2364737309493714e-09,2.092075608255998e-09
