transition,anchor_residue,next_residue,probability,count,lift
17->19,17,19,0.2887565711833494,5383,2.3129256919144323
7->11,7,11,0.2886979865771812,5377,2.30563612413948
29->1,29,1,0.28678799591990123,5342,2.303724349749459
11->13,11,13,0.28716216216216217,5355,2.292632874914155
19->23,19,23,0.28634432313236163,5324,2.2926172625009134
13->17,13,17,0.28606658446362515,5336,2.285356204140287
23->29,23,29,0.28493091769259715,5300,2.2781165319719117
1->7,1,7,0.2790722761596548,5174,2.2316341825698687
23->1,23,1,0.21654749744637386,4028,1.7394931093414785
29->7,29,7,0.2158157513287164,4020,1.7257959637905071
17->23,17,23,0.215266602295891,4013,1.7235331333436241
11->17,11,17,0.21541184041184042,4017,1.7209027990931758
13->19,13,19,0.21379938883825658,3988,1.7125224106003718
1->11,1,11,0.21429341963322546,3973,1.711417025555375
19->29,19,29,0.21223040929382025,3946,1.6968520226402188
7->13,7,13,0.20880536912751677,3889,1.6670512929555024
23->7,23,7,0.18536637815171228,3448,1.4823039804422444
1->13,1,13,0.16251348435814456,3013,1.297468141523218
7->17,7,17,0.16204026845637584,3018,1.2945228591856883
11->19,11,19,0.16092878592878593,3001,1.2890315258209089
13->23,13,23,0.1609392591004128,3002,1.2885609869665813
19->1,19,1,0.15973753563168935,2970,1.2831473270815459
17->29,17,29,0.16017594678682545,2986,1.2806594502075013
29->11,29,11,0.15928490900306008,2967,1.272101148268808
29->13,29,13,0.13550222794867664,2524,1.0818168385423212
17->1,17,1,0.13029717841433322,2429,1.046657415537661
7->19,7,19,0.1181744966442953,2201,0.9465718071714223
13->29,13,29,0.11837237977805179,2208,0.9464261635242107
11->23,11,23,0.11599099099099099,2163,0.9286824524110153
1->17,1,17,0.11558791801510249,2143,0.92341986064109
19->7,19,7,0.1069219598773732,1988,0.8550139906882148
23->11,23,11,0.10391914413203591,1933,0.8299321222887159
19->11,19,11,0.09675684397353843,1799,0.7727316610969059
1->19,1,19,0.08511326860841424,1578,0.6817530242877708
11->29,11,29,0.0851029601029601,1587,0.6804261955856415
7->23,7,23,0.08424161073825503,1569,0.6744808798256859
29->17,29,17,0.08299779889407849,1546,0.6630607870129931
13->1,13,1,0.07907575188977645,1475,0.6352034872272123
23->13,23,13,0.07601741841836461,1414,0.6069045838763065
17->7,17,7,0.07440188820941959,1387,0.5949634240303184
1->23,1,23,0.06957928802588997,1290,0.5570869193273356
7->29,7,29,0.06931543624161074,1291,0.5541997425257339
13->7,13,7,0.061062563662681604,1139,0.4882939510158671
23->17,23,17,0.059512929412397185,1107,0.4754426061827541
19->13,19,13,0.058624213413650296,1090,0.4680414645374464
17->11,17,11,0.05830919429245789,1087,0.46567621175361756
11->1,11,1,0.05625268125268125,1049,0.45186923226971765
29->19,29,19,0.054973962527513826,1024,0.4403386901124136
13->11,13,11,0.050876534605693455,949,0.4063165713369434
19->17,19,17,0.05007260797074168,931,0.40002485958988243
11->7,11,7,0.04895967395967396,913,0.3915117742235977
23->19,23,19,0.046932960593516475,873,0.37593066682255766
1->29,1,29,0.04568500539374326,847,0.36526666496401944
17->13,17,13,0.043611200514966204,813,0.3481812201937065
29->23,29,23,0.03983464862833521,742,0.3189363144760677
7->1,7,1,0.038926174496644296,725,0.31268803892183056
11->11,11,11,0.03019090519090519,563,0.24111439935522946
7->7,7,7,0.029798657718120805,555,0.23828846087317512
13->13,13,13,0.02980753766150217,556,0.23797613253939404
19->19,19,19,0.029312106706825148,545,0.23478850856455452
17->17,17,17,0.029181418302757216,544,0.23312731715541948
1->1,1,1,0.02815533980582524,522,0.22616756213278033
23->23,23,23,0.026772754153002527,498,0.2143561907022479
29->29,29,29,0.02480270574971815,462,0.19830580150318217
