transition,anchor_residue,next_residue,z_center,empirical_pdf,exp_pdf,delta
1->1,1,1,0.04285714285714286,0.0,0.9607229454284076,-0.9607229454284076
1->1,1,1,0.12857142857142856,0.0,0.8818057410347337,-0.8818057410347337
1->1,1,1,0.21428571428571427,0.0,0.8093710768769816,-0.8093710768769816
1->1,1,1,0.3,0.0,0.7428864540123261,-0.7428864540123261
1->1,1,1,0.38571428571428573,0.0,0.6818631148576237,-0.6818631148576237
1->1,1,1,0.4714285714285714,0.0,0.6258524501183417,-0.6258524501183417
1->1,1,1,0.5571428571428572,0.0,0.574442700865141,-0.574442700865141
1->1,1,1,0.6428571428571428,0.0,0.5272559315136365,-0.5272559315136365
1->1,1,1,0.7285714285714286,0.0,0.48394525145437756,-0.48394525145437756
1->1,1,1,0.8142857142857143,0.0,0.4441922649080403,-0.4441922649080403
1->1,1,1,0.9,0.0,0.40770473025859444,-0.40770473025859444
1->1,1,1,0.9857142857142857,0.0,0.3742144116571816,-0.3742144116571816
1->1,1,1,1.0714285714285714,0.0,0.34347510710290213,-0.34347510710290213
1->1,1,1,1.157142857142857,0.0,0.3152608385040695,-0.3152608385040695
1->1,1,1,1.2428571428571429,0.0,0.28936419041427874,-0.28936419041427874
1->1,1,1,1.3285714285714287,0.0,0.2655947852306119,-0.2655947852306119
1->1,1,1,1.4142857142857141,0.0,0.24377788364449285,-0.24377788364449285
1->1,1,1,1.5,0.0,0.22375310005649293,-0.22375310005649293
1->1,1,1,1.5857142857142859,0.0,0.2053732235115413,-0.2053732235115413
1->1,1,1,1.6714285714285715,0.0,0.18850313548671466,-0.18850313548671466
1->1,1,1,1.7571428571428571,0.0,0.17301881657579302,-0.17301881657579302
1->1,1,1,1.842857142857143,0.0,0.1588064347682837,-0.1588064347682837
1->1,1,1,1.9285714285714286,0.0,0.14576150862045373,-0.14576150862045373
1->1,1,1,2.0142857142857142,0.0,0.1337881391664733,-0.1337881391664733
1->1,1,1,2.0999999999999996,4.971209213051821,0.12279830492311432,4.848410908128706
1->1,1,1,2.185714285714286,2.9334612923864345,0.11271121480527316,2.8207500775811614
1->1,1,1,2.2714285714285714,1.5451055662188091,0.10345271419531782,1.4416528520234912
1->1,1,1,2.357142857142857,0.5822136916186847,0.09495473980001322,0.4872589518186715
1->1,1,1,2.442857142857143,0.403071017274472,0.08715481928744107,0.3159161979870309
1->1,1,1,2.5285714285714285,0.15674984005118353,0.07999561202552476,0.07675422802565877
1->1,1,1,2.6142857142857143,0.11196417146513168,0.07342448754592751,0.038539683919204176
1->1,1,1,2.7,0.13435700575815732,0.06739313863442749,0.06696386712372983
1->1,1,1,2.7857142857142856,0.08957133717210489,0.061857226203427235,0.027714110968677652
1->1,1,1,2.8714285714285714,0.022392834293026336,0.05677605333590008,-0.03438321904287374
1->1,1,1,2.9571428571428573,0.0,0.052112266104527814,-0.052112266104527814
1->1,1,1,3.0428571428571427,0.0,0.04783157896661976,-0.04783157896661976
1->1,1,1,3.1285714285714286,0.04478566858605267,0.043902522716071216,0.0008831458699814568
1->1,1,1,3.2142857142857144,0.0,0.040296213139445945,-0.040296213139445945
1->1,1,1,3.3,0.0,0.0369861386754717,-0.0369861386754717
1->1,1,1,3.385714285714286,0.0,0.03394796551694117,-0.03394796551694117
