transition,anchor_residue,next_residue,count,probability,mean_z,std_z,l1_residual,l2_residual,positive_residual_mass,negative_residual_mass,tail_bias_z_ge_3,tail_p_z_gt_2,tail_p_z_gt_3
23->23,23,23,498,0.026772754153002527,2.352653268542489,0.5899147886450725,1.8312633615088418,1.772062457540117,0.9156316807544207,-0.9156316807544208,0.009025739725659024,1.0,0.060240963855421686
1->1,1,1,522,0.02815533980582524,2.3351928204237913,0.5660498178641578,1.8307559106254812,1.845195998466082,0.9153779553127404,-0.9153779553127405,0.013994472311876649,1.0,0.06321839080459771
7->7,7,7,555,0.029798657718120805,2.3139580245691644,0.5055024778599785,1.8300042899970115,1.8068652668159124,0.9150021449985053,-0.9150021449985054,-0.0022995193869530485,1.0,0.04684684684684685
29->29,29,29,462,0.02480270574971815,2.314560358176506,0.508505018439768,1.8288165153066414,1.7699165315383805,0.9144082576533206,-0.9144082576533206,-0.008295438394958094,1.0,0.04329004329004329
11->11,11,11,563,0.03019090519090519,2.348226086904652,0.577820825491805,1.8278189801614475,1.772311413644718,0.9139094900807235,-0.9139094900807235,0.009615125039902065,1.0,0.06039076376554174
19->19,19,19,545,0.029312106706825148,2.332140512882656,0.5714384942628211,1.8230408334065598,1.7722579450691305,0.9115204167032795,-0.9115204167032797,0.000456263102359512,1.0,0.05137614678899083
17->17,17,17,544,0.029181418302757216,2.361520399127892,0.5836802474642395,1.8184929372850023,1.7521368177726042,0.909246468642501,-0.909246468642501,0.02083980947925985,1.0,0.07169117647058823
13->13,13,13,556,0.02980753766150217,2.358270646137294,0.5631776988856471,1.8163416184217658,1.7220896964451182,0.9081708092108828,-0.9081708092108828,0.026448000696307098,1.0,0.07553956834532374
13->11,13,11,949,0.050876534605693455,2.220571726128988,0.6050366312230147,1.8032167492502482,1.6403168200133151,0.9016083746251238,-0.9016083746251238,0.014941991515879329,0.6048472075869337,0.06533192834562697
19->17,19,17,931,0.05007260797074168,2.216044074819017,0.584598387853548,1.7990670242419469,1.6538387849366392,0.8995335121209732,-0.8995335121209732,0.018306885443122835,0.6197636949516648,0.06874328678839957
1->29,1,29,847,0.04568500539374326,2.192235709760212,0.5153175713883642,1.792207811297554,1.6192525138988232,0.8961039056487768,-0.8961039056487765,0.012786641580402538,0.6174734356552538,0.0602125147579693
29->23,29,23,742,0.03983464862833521,1.8795813197057507,0.517528807530654,1.7914829400919234,1.7934620356085305,0.8957414700459618,-0.8957414700459617,-0.0016037707516907767,0.09299191374663072,0.04582210242587601
11->7,11,7,913,0.04895967395967396,2.044398690780684,0.5378390749301936,1.7819603353485467,1.8319003212114173,0.8909801676742731,-0.890980167674273,0.010688161910152498,0.22782037239868566,0.05914567360350493
17->11,17,11,1087,0.05830919429245789,1.9183155657147484,0.5871233949132247,1.7762322557906083,1.7764201352360718,0.8881161278953038,-0.8881161278953041,0.01248196092381577,0.12235510579576817,0.061637534498620056
