lag,real_mi,shuffle_mean_mi,shuffle_std_mi,excess_mi
1,0.012626588052816488,0.00015853049668487318,2.5995371003439593e-05,0.012468057556131616
2,0.0022825325314794883,0.00016696605031893782,3.5844465279051945e-05,0.0021155664811605504
3,0.0016359478898713548,0.0001705675561445514,3.588182116312157e-05,0.0014653803337268034
4,0.0016804778588088462,0.00017005520066722764,3.4477460360972e-05,0.0015104226581416184
5,0.0015019670086303903,0.00017209618107694283,3.6052818356142827e-05,0.0013298708275534476
6,0.0015339100786434723,0.00016967899477812601,3.085463562138679e-05,0.0013642310838653461
7,0.0014493710744781585,0.00016340472225776387,3.1479436148169035e-05,0.0012859663522203947
8,0.0016355065361262893,0.0001619285057277736,2.8200486703730145e-05,0.0014735780303985156
9,0.00142643525302927,0.00016380403639317396,3.4610990724516195e-05,0.0012626312166360962
10,0.001507084710720251,0.00016081676690445735,2.5634189832873723e-05,0.0013462679438157937
11,0.0014233254138054606,0.00016734051413547089,3.757769620656663e-05,0.0012559848996699897
12,0.001595347870700061,0.0001582309749170172,3.5554911729738146e-05,0.0014371168957830439
13,0.0012150257432857504,0.00016166775490585782,2.932925824168837e-05,0.0010533579883798927
14,0.0018608652814417405,0.00017001149586537697,3.3150849655976435e-05,0.0016908537855763635
15,0.001328015952201323,0.00017140658490471557,3.9561267441841516e-05,0.0011566093672966075
16,0.001941202028265717,0.00016313312395597318,3.343642091115856e-05,0.0017780689043097437
17,0.0016698522572724927,0.00016250284462311992,3.161702025130152e-05,0.0015073494126493728
18,0.001656152183834794,0.00016479688078131085,3.55546997491805e-05,0.0014913553030534833
19,0.0016315155639479036,0.00017060588269482386,3.1839129604405114e-05,0.0014609096812530798
20,0.001632327240677294,0.0001610789169053445,3.4128063144048444e-05,0.0014712483237719497
