window_index,x_min,x_max,window_midpoint,count,mean_z,std_z,q50_z,q90_z,q99_z
0,101,216,147.70240350109404,22,1.1031804579272413,0.7240715512520461,0.8578414033309036,2.220646559141591,2.8156315180848837
1,216,462,315.8987179461164,42,0.9856344741908013,0.5374236421335631,0.9985421273794229,1.7126562770263336,2.4508989773701955
2,462,990,676.2987505533335,77,1.0465351616456973,0.5884136832938056,0.9362523280492342,1.8902440823324604,2.8925960097965726
3,990,2120,1448.7235761179563,153,1.016239896902821,0.7138147787136198,0.83148846798878,1.8565444291838993,3.1800876087246754
4,2120,4538,3101.702758163651,296,1.0106799129948225,0.718821099918577,0.7592909718511425,2.02549176521165,3.333660299062438
5,4538,9714,6639.437626787378,582,1.0048914739147774,0.7265530839014326,0.7023413822003927,2.0217538389756444,3.426673490835383
6,9714,20793,14212.079439687916,1145,1.0082252106119234,0.7404140329877092,0.8147860351658052,2.0200973824968944,3.469364575177203
7,20793,44508,30421.289321789107,2284,1.0014937047212027,0.7759689099956663,0.7731288901927191,1.9519399064070075,3.6134310414446857
8,44508,95271,65117.752326074646,4559,1.0004676877345746,0.7612411527569247,0.7449286323928126,2.0286203408617087,3.5351776402188904
9,95271,203928,139385.88338852683,9112,1.003165110979255,0.7919993056382022,0.8289527370941503,2.040763542624358,3.706358026929033
10,203928,436509,298356.1753207062,18387,0.9999043561240799,0.801255023078862,0.7919339340600422,2.065876643714248,3.7499478257380514
11,436509,934350,638633.0590800949,37099,1.0006321006020813,0.8069914439790744,0.759213097398548,2.0889202908709623,3.8173535891003545
12,934350,1999979,1366996.8466130418,75149,1.000514238951653,0.8264940593359161,0.8285338016982525,2.095979219179091,3.902629011640304
