model,rank,abs_eigenvalue
P,1,0.9999999999999982
P,2,0.381100319414887
P,3,0.381100319414887
P,4,0.20475392419832314
P,5,0.20475392419832314
P,6,0.16689092200651248
P,7,0.16689092200651248
P,8,0.1580538980314946
P2_markov,1,1.000000000000001
P2_markov,2,0.1452374534581291
P2_markov,3,0.1452374534581291
P2_markov,4,0.04192416947461257
P2_markov,5,0.04192416947461257
P2_markov,6,0.027852579848183817
P2_markov,7,0.027852579848183817
P2_markov,8,0.024981034682950112
P2_emp,1,1.0000000000000007
P2_emp,2,0.14800785053661153
P2_emp,3,0.14800785053661153
P2_emp,4,0.05596957914128636
P2_emp,5,0.05596957914128636
P2_emp,6,0.019647689940230247
P2_emp,7,0.019647689940230247
P2_emp,8,0.012225199661808836
P2_plus_M4,1,1.000000000000001
P2_plus_M4,2,0.14560066176133762
P2_plus_M4,3,0.14560066176133762
P2_plus_M4,4,0.05483344866255454
P2_plus_M4,5,0.05483344866255454
P2_plus_M4,6,0.018828975930628034
P2_plus_M4,7,0.018828975930628034
P2_plus_M4,8,0.00848453909588579
