step,tv_to_stationary,model
0,0.8755106895444227,P_first_order
1,0.28036010728229543,P_first_order
2,0.08854192998748603,P_first_order
3,0.033436428181643545,P_first_order
4,0.013021434109925178,P_first_order
5,0.0049568410349299374,P_first_order
6,0.0018577539186331316,P_first_order
7,0.000713673752099582,P_first_order
8,0.00026421745498343696,P_first_order
9,9.972550667393387e-05,P_first_order
10,3.677540797462214e-05,P_first_order
11,1.4387919415367878e-05,P_first_order
12,5.613587846703405e-06,P_first_order
13,2.1770137168392045e-06,P_first_order
14,8.353633245139491e-07,P_first_order
15,3.213309864025238e-07,P_first_order
16,1.2135278208702527e-07,P_first_order
17,4.6303977131734175e-08,P_first_order
18,1.7208422437020587e-08,P_first_order
19,6.511605019077216e-09,P_first_order
20,2.408714852575322e-09,P_first_order
21,9.153775237802364e-10,P_first_order
22,3.631697581552018e-10,P_first_order
23,1.385623352168075e-10,P_first_order
24,5.421418869389072e-11,P_first_order
25,2.0460008687273046e-11,P_first_order
26,7.899278453571412e-12,P_first_order
27,2.9493629760679596e-12,P_first_order
28,1.1236983565865444e-12,P_first_order
29,4.14966672135364e-13,P_first_order
30,1.5578510703662118e-13,P_first_order
31,5.982714323948812e-14,P_first_order
32,2.3425705819590803e-14,P_first_order
33,8.944234242136417e-15,P_first_order
34,3.3653635433950058e-15,P_first_order
35,1.429412144204889e-15,P_first_order
0,0.8755106895444228,P2_markov
1,0.08854192998748586,P2_markov
2,0.013021434109925283,P2_markov
3,0.0018577539186330483,P2_markov
4,0.000264217454983548,P2_markov
5,3.6775407974733165e-05,P2_markov
6,5.6135878466131994e-06,P2_markov
7,8.353633246180325e-07,P2_markov
8,1.2135278201069744e-07,P2_markov
9,1.7208422554981784e-08,P2_markov
10,2.408714644408505e-09,P2_markov
11,3.6317005652763967e-10,P2_markov
12,5.421388338255895e-11,P2_markov
13,7.899590703797088e-12,P2_markov
14,1.1233861063608686e-12,P2_markov
15,1.560834794744892e-13,P2_markov
16,2.315508895733842e-14,P2_markov
17,3.622102617839573e-15,P2_markov
18,3.885780586188048e-16,P2_markov
19,3.122502256758253e-16,P2_markov
20,2.8449465006019636e-16,P2_markov
21,2.8449465006019636e-16,P2_markov
22,2.8449465006019636e-16,P2_markov
23,2.8449465006019636e-16,P2_markov
24,2.8449465006019636e-16,P2_markov
25,2.8449465006019636e-16,P2_markov
26,2.8449465006019636e-16,P2_markov
27,2.8449465006019636e-16,P2_markov
28,2.8449465006019636e-16,P2_markov
29,2.8449465006019636e-16,P2_markov
30,2.8449465006019636e-16,P2_markov
31,2.8449465006019636e-16,P2_markov
32,2.8449465006019636e-16,P2_markov
33,2.8449465006019636e-16,P2_markov
34,2.8449465006019636e-16,P2_markov
35,2.8449465006019636e-16,P2_markov
0,0.8755104431199499,P2_empirical
1,0.09389285534789085,P2_empirical
2,0.014572412716184556,P2_empirical
3,0.0021527068988887316,P2_empirical
4,0.0003443003742587686,P2_empirical
5,5.283438423962783e-05,P2_empirical
6,7.775454688649375e-06,P2_empirical
7,1.1715516202714937e-06,P2_empirical
8,1.827086129960187e-07,P2_empirical
9,2.725805366143863e-08,P2_empirical
10,3.8929686557720444e-09,P2_empirical
11,5.326388913262647e-10,P2_empirical
12,7.596109852237021e-11,P2_empirical
13,1.1027415092179638e-11,P2_empirical
14,1.5300816169627751e-12,P2_empirical
15,2.2776919239575477e-13,P2_empirical
16,3.464589726220879e-14,P2_empirical
17,5.23192600354605e-15,P2_empirical
18,7.7021722333370235e-16,P2_empirical
19,2.3592239273284576e-16,P2_empirical
20,1.6653345369377348e-16,P2_empirical
21,1.8041124150158794e-16,P2_empirical
22,2.0122792321330962e-16,P2_empirical
23,2.0122792321330962e-16,P2_empirical
24,1.942890293094024e-16,P2_empirical
25,1.942890293094024e-16,P2_empirical
26,1.942890293094024e-16,P2_empirical
27,1.942890293094024e-16,P2_empirical
28,1.942890293094024e-16,P2_empirical
29,1.942890293094024e-16,P2_empirical
30,1.942890293094024e-16,P2_empirical
31,1.942890293094024e-16,P2_empirical
32,1.942890293094024e-16,P2_empirical
33,1.942890293094024e-16,P2_empirical
34,1.942890293094024e-16,P2_empirical
35,1.942890293094024e-16,P2_empirical
0,0.8755097458708994,P2_plus_M4
1,0.08877763346799186,P2_plus_M4
2,0.013682849620405738,P2_plus_M4
3,0.002030245036478244,P2_plus_M4
4,0.00032700276101792214,P2_plus_M4
5,5.093204735909934e-05,P2_plus_M4
6,7.678737205578379e-06,P2_plus_M4
7,1.1349181722394852e-06,P2_plus_M4
