source,sample,mode,incremental_error_reduction
real,-1,1,0.21493235898762253
real,-1,2,0.1989003137316383
real,-1,3,0.14674307641254225
real,-1,4,0.18035310509431113
real,-1,5,0.15645755916594126
real,-1,6,0.05199481898153845
real,-1,7,0.050618767626405305
real,-1,8,1.4012106484529846e-17
iid_shuffle,0,1,0.18784293693235377
iid_shuffle,0,2,0.17490037356240296
iid_shuffle,0,3,0.166544552884399
iid_shuffle,0,4,0.15255789355171712
iid_shuffle,0,5,0.17120613698285736
iid_shuffle,0,6,0.10973426889479895
iid_shuffle,0,7,0.0372138371914687
iid_shuffle,0,8,1.2811772154401727e-15
iid_shuffle,1,1,0.2198726159713661
iid_shuffle,1,2,0.20503895524239812
iid_shuffle,1,3,0.2213954471301784
iid_shuffle,1,4,0.1292036233651591
iid_shuffle,1,5,0.08446988678545142
iid_shuffle,1,6,0.06532290095166253
iid_shuffle,1,7,0.0746965705537834
iid_shuffle,1,8,1.3270831757743562e-16
iid_shuffle,2,1,0.2626580109070946
iid_shuffle,2,2,0.18392624063673757
iid_shuffle,2,3,0.21556577853733183
iid_shuffle,2,4,0.16011527517491228
iid_shuffle,2,5,0.0676989465187434
iid_shuffle,2,6,0.074775666541535
iid_shuffle,2,7,0.03526008168364437
iid_shuffle,2,8,6.152836900156482e-17
iid_shuffle,3,1,0.2348241214895216
iid_shuffle,3,2,0.20532100574575918
iid_shuffle,3,3,0.18580706325388607
iid_shuffle,3,4,0.17282931017862307
iid_shuffle,3,5,0.08626345299158682
iid_shuffle,3,6,0.09235335927822827
iid_shuffle,3,7,0.02260168706239247
iid_shuffle,3,8,1.551117214677765e-15
iid_shuffle,4,1,0.28135886141109323
iid_shuffle,4,2,0.1415395663331206
iid_shuffle,4,3,0.15230675594413012
iid_shuffle,4,4,0.13140609399838765
iid_shuffle,4,5,0.09469585061447855
iid_shuffle,4,6,0.1256879359382643
iid_shuffle,4,7,0.0730049357605245
iid_shuffle,4,8,2.1457973114757132e-16
iid_shuffle,5,1,0.20457131954051766
iid_shuffle,5,2,0.16881381261697515
iid_shuffle,5,3,0.18783503638488247
iid_shuffle,5,4,0.1793739010914563
iid_shuffle,5,5,0.185422162879585
iid_shuffle,5,6,0.06806438173606984
iid_shuffle,5,7,0.005919385750512378
iid_shuffle,5,8,2.6787249494080713e-17
iid_shuffle,6,1,0.32061032493598973
iid_shuffle,6,2,0.194117725318947
iid_shuffle,6,3,0.13298918431117518
iid_shuffle,6,4,0.09788265838978288
iid_shuffle,6,5,0.14396421610912918
iid_shuffle,6,6,0.06637653412584776
iid_shuffle,6,7,0.04405935680912737
iid_shuffle,6,8,3.5505218590075444e-17
iid_shuffle,7,1,0.21408877464058096
iid_shuffle,7,2,0.15826857357067747
iid_shuffle,7,3,0.15293623487101915
iid_shuffle,7,4,0.14148301294552018
iid_shuffle,7,5,0.13927874730830708
iid_shuffle,7,6,0.1934263801566783
iid_shuffle,7,7,0.0005182765072159562
iid_shuffle,7,8,9.288804349102917e-17
iid_shuffle,8,1,0.26641178885109273
