null_model,sample,rank,singular_value
iid_shuffle,0,1,0.013229218481218467
iid_shuffle,0,2,0.007358624462124767
iid_shuffle,0,3,0.00698467330427607
iid_shuffle,0,4,0.004722919920367728
iid_shuffle,0,5,0.003401374700035891
iid_shuffle,0,6,0.0016241664607649503
iid_shuffle,0,7,0.0009111523401125213
iid_shuffle,0,8,1.0686222637433076e-17
iid_shuffle,1,1,0.013987887809914343
iid_shuffle,1,2,0.010206879130427242
iid_shuffle,1,3,0.008694845410538698
iid_shuffle,1,4,0.0074552845767841
iid_shuffle,1,5,0.004833854815645316
iid_shuffle,1,6,0.002158256362146023
iid_shuffle,1,7,0.0012640140534534725
iid_shuffle,1,8,3.9855467255019613e-19
iid_shuffle,2,1,0.012267669111983162
iid_shuffle,2,2,0.009508561596345288
iid_shuffle,2,3,0.008893191355299413
iid_shuffle,2,4,0.005860364944339151
iid_shuffle,2,5,0.004057687448195961
iid_shuffle,2,6,0.002204907499431969
iid_shuffle,2,7,0.0007736715736858872
iid_shuffle,2,8,3.140082377304643e-18
iid_shuffle,3,1,0.011578930624776388
iid_shuffle,3,2,0.008093580181962427
iid_shuffle,3,3,0.005480097440466869
iid_shuffle,3,4,0.00433435884346141
iid_shuffle,3,5,0.002852691057888322
iid_shuffle,3,6,0.002521515443384224
iid_shuffle,3,7,0.0009007418711538222
iid_shuffle,3,8,8.482384910503712e-18
iid_shuffle,4,1,0.012729666739749573
iid_shuffle,4,2,0.007169886017415552
iid_shuffle,4,3,0.0060149371491398426
iid_shuffle,4,4,0.00472965538950346
iid_shuffle,4,5,0.0036233316651585316
iid_shuffle,4,6,0.002534395658983131
iid_shuffle,4,7,0.0006450431310742184
iid_shuffle,4,8,4.411390023953313e-18
iid_shuffle,5,1,0.012244287670569978
iid_shuffle,5,2,0.010461748129293683
iid_shuffle,5,3,0.0071532635682137365
iid_shuffle,5,4,0.005771853621530715
iid_shuffle,5,5,0.004077706427968715
iid_shuffle,5,6,0.0035085712301603533
iid_shuffle,5,7,9.214926240264329e-05
iid_shuffle,5,8,2.326557130217705e-17
iid_shuffle,6,1,0.010275541040262246
iid_shuffle,6,2,0.009180519240862824
iid_shuffle,6,3,0.0062828010464366256
iid_shuffle,6,4,0.005521975532789829
iid_shuffle,6,5,0.004585059373191492
iid_shuffle,6,6,0.0016082021168073285
