metric,null,ratio
two_step_l2_residual,block_bootstrap,0.98
two_step_l2_residual,iid_shuffle,3.7
two_step_l2_residual,markov_synthetic,3.89
two_step_l2_residual,window_bootstrap,0.93
js_empirical_vs_markov,block_bootstrap,0.95
js_empirical_vs_markov,iid_shuffle,12.6
js_empirical_vs_markov,markov_synthetic,13.71
js_empirical_vs_markov,window_bootstrap,0.85
top_singular_value,block_bootstrap,0.97
top_singular_value,iid_shuffle,3.55
top_singular_value,markov_synthetic,3.68
top_singular_value,window_bootstrap,0.89
mi_excess_over_shuffle_bits,block_bootstrap,1.01
mi_excess_over_shuffle_bits,iid_shuffle,9347.93
mi_excess_over_shuffle_bits,markov_synthetic,1.0
mi_excess_over_shuffle_bits,window_bootstrap,1.0
rank4_improvement,block_bootstrap,1.0
rank4_improvement,iid_shuffle,0.98
rank4_improvement,markov_synthetic,0.97
rank4_improvement,window_bootstrap,0.99
