metric,null,p_value
two_step_l2_residual,block_bootstrap,0.697
two_step_l2_residual,iid_shuffle,0.00498
two_step_l2_residual,markov_synthetic,0.00498
two_step_l2_residual,window_bootstrap,0.99
js_empirical_vs_markov,block_bootstrap,0.721
js_empirical_vs_markov,iid_shuffle,0.00498
js_empirical_vs_markov,markov_synthetic,0.00498
js_empirical_vs_markov,window_bootstrap,0.995
top_singular_value,block_bootstrap,0.652
top_singular_value,iid_shuffle,0.00498
top_singular_value,markov_synthetic,0.00498
top_singular_value,window_bootstrap,1.0
mi_excess_over_shuffle_bits,block_bootstrap,0.368
mi_excess_over_shuffle_bits,iid_shuffle,0.00498
mi_excess_over_shuffle_bits,markov_synthetic,0.00498
mi_excess_over_shuffle_bits,window_bootstrap,0.458
rank4_improvement,block_bootstrap,0.468
rank4_improvement,iid_shuffle,0.602
rank4_improvement,markov_synthetic,0.687
rank4_improvement,window_bootstrap,0.637
