control,rank,singular_value
real,1,0.0413
real,2,0.0349
real,3,0.0259
real,4,0.0237
real,5,0.0159
real,6,0.006
real,7,0.0034
real,8,0.0
iid_shuffle,1,0.011
iid_shuffle,2,0.0084
iid_shuffle,3,0.0073
iid_shuffle,4,0.0053
iid_shuffle,5,0.0045
iid_shuffle,6,0.0029
iid_shuffle,7,0.0003
iid_shuffle,8,0.0
markov_synthetic,1,0.0107
markov_synthetic,2,0.01
markov_synthetic,3,0.0079
markov_synthetic,4,0.0067
markov_synthetic,5,0.0025
markov_synthetic,6,0.0021
markov_synthetic,7,0.0011
markov_synthetic,8,0.0
block_shuffle,1,0.0326
block_shuffle,2,0.028
block_shuffle,3,0.0187
block_shuffle,4,0.0152
block_shuffle,5,0.0127
block_shuffle,6,0.0016
block_shuffle,7,0.0008
block_shuffle,8,0.0
balanced_shuffle,1,0.0112
balanced_shuffle,2,0.0083
balanced_shuffle,3,0.0056
balanced_shuffle,4,0.0039
balanced_shuffle,5,0.0033
balanced_shuffle,6,0.0028
balanced_shuffle,7,0.0006
balanced_shuffle,8,0.0
gap_shuffle,1,0.0168
gap_shuffle,2,0.0143
gap_shuffle,3,0.0077
gap_shuffle,4,0.0074
gap_shuffle,5,0.0046
gap_shuffle,6,0.0041
gap_shuffle,7,0.0007
gap_shuffle,8,0.0
